rl	V(vo)	I(Rl)
1.000000000000000e-006	1.971250e-007	1.971250e-001
2.000010000000000e-001	4.034050e-002	2.017015e-001
4.000010000000001e-001	8.259843e-002	2.064956e-001
6.000010000000000e-001	1.269140e-001	2.115231e-001
8.000010000000000e-001	1.734414e-001	2.168014e-001
1.000001000000000e+000	2.223502e-001	2.223500e-001
1.200001000000000e+000	2.738283e-001	2.281900e-001
1.400001000000000e+000	3.280834e-001	2.343451e-001
1.600001000000000e+000	3.853465e-001	2.408414e-001
1.800001000000000e+000	4.458749e-001	2.477082e-001
2.000001000000000e+000	5.099561e-001	2.549779e-001
2.200001000000000e+000	5.779123e-001	2.626873e-001
2.400001000000000e+000	6.501058e-001	2.708773e-001
2.600001000000000e+000	7.269459e-001	2.795945e-001
2.800001000000000e+000	8.088960e-001	2.888913e-001
3.000001000000001e+000	8.964832e-001	2.988276e-001
3.200001000000001e+000	9.903100e-001	3.094718e-001
3.400001000000001e+000	1.091068e+000	3.209022e-001
3.600001000000001e+000	1.199553e+000	3.332092e-001
3.800001000000001e+000	1.316692e+000	3.464978e-001
4.000001000000001e+000	1.443561e+000	3.608902e-001
4.200001000000001e+000	1.581427e+000	3.765300e-001
4.400001000000001e+000	1.731781e+000	3.935866e-001
4.600001000000002e+000	1.896404e+000	4.122616e-001
4.800001000000002e+000	2.077425e+000	4.327968e-001
5.000001000000002e+000	2.277424e+000	4.554847e-001
5.200001000000002e+000	2.499550e+000	4.806825e-001
5.400001000000002e+000	2.747688e+000	5.088309e-001
5.600001000000002e+000	3.026691e+000	5.404804e-001
5.800001000000003e+000	3.342698e+000	5.763271e-001
6.000001000000003e+000	3.703592e+000	6.172652e-001
6.200001000000003e+000	4.119652e+000	6.644598e-001
6.400001000000003e+000	4.603553e+000	7.193050e-001
6.600001000000003e+000	5.063342e+000	7.671728e-001
6.800001000000004e+000	5.065837e+000	7.449759e-001
7.000001000000004e+000	5.068185e+000	7.240264e-001
7.200001000000004e+000	5.070400e+000	7.042222e-001
7.400001000000004e+000	5.072493e+000	6.854719e-001
7.600001000000004e+000	5.074472e+000	6.676936e-001
7.800001000000004e+000	5.076348e+000	6.508138e-001
8.000001000000005e+000	5.078128e+000	6.347659e-001
8.200001000000004e+000	5.079819e+000	6.194900e-001
8.400001000000003e+000	5.081429e+000	6.049319e-001
8.600001000000002e+000	5.082006e+000	5.909309e-001
8.800001000000002e+000	5.084424e+000	5.777754e-001
9.000001000000001e+000	5.085820e+000	5.650910e-001
9.200001000000000e+000	5.087154e+000	5.529515e-001
9.400001000000000e+000	5.088431e+000	5.413224e-001
9.600000999999999e+000	5.089653e+000	5.301722e-001
9.800000999999998e+000	5.090826e+000	5.194719e-001
1.000000100000000e+001	5.091950e+000	5.091950e-001
1.020000100000000e+001	5.093030e+000	4.993166e-001
1.040000100000000e+001	5.094068e+000	4.898142e-001
1.060000100000000e+001	5.095067e+000	4.806666e-001
1.080000100000000e+001	5.096027e+000	4.718543e-001
1.100000099999999e+001	5.096953e+000	4.633593e-001
1.120000099999999e+001	5.097845e+000	4.551647e-001
1.140000099999999e+001	5.098705e+000	4.472548e-001
1.160000099999999e+001	5.099536e+000	4.396151e-001
1.180000099999999e+001	5.100338e+000	4.322320e-001
1.200000000000000e+001	5.101113e+000	4.250927e-001
