Freq.	Vy/Vx
1.00000000000000e+00	4.99748366775459e+01	1.38706024951175e+00
1.00230523807790e+00	4.99748252265205e+01	1.39025654674640e+00
1.00461579027839e+00	4.99748137226707e+01	1.39346020384630e+00
1.00693166885180e+00	4.99748021657535e+01	1.39667123771903e+00
1.00925288607668e+00	4.99747905555207e+01	1.39988966531068e+00
1.01157945425990e+00	4.99747788917317e+01	1.40311550360769e+00
1.01391138573668e+00	4.99747671741340e+01	1.40634876963630e+00
1.01624869287070e+00	4.99747554024842e+01	1.40958948045536e+00
1.01859138805412e+00	4.99747435765294e+01	1.41283765316823e+00
1.02093948370768e+00	4.99747316960218e+01	1.41609330491859e+00
1.02329299228075e+00	4.99747197607086e+01	1.41935645288388e+00
1.02565192625141e+00	4.99747077703367e+01	1.42262711428421e+00
1.02801629812647e+00	4.99746957246538e+01	1.42590530637962e+00
1.03038612044162e+00	4.99746836234062e+01	1.42919104646560e+00
1.03276140576140e+00	4.99746714663326e+01	1.43248435188310e+00
1.03514216667934e+00	4.99746592531811e+01	1.43578524000294e+00
1.03752841581801e+00	4.99746469836897e+01	1.43909372824930e+00
1.03992016582906e+00	4.99746346576012e+01	1.44240983407515e+00
1.04231742939330e+00	4.99746222746497e+01	1.44573357497392e+00
1.04472021922080e+00	4.99746098345811e+01	1.44906496848529e+00
1.04712854805090e+00	4.99745973371246e+01	1.45240403218292e+00
1.04954242865232e+00	4.99745847820186e+01	1.45575078368445e+00
1.05196187382322e+00	4.99745721690003e+01	1.45910524064686e+00
1.05438689639126e+00	4.99745594977983e+01	1.46246742076209e+00
1.05681750921366e+00	4.99745467681452e+01	1.46583734177233e+00
1.05925372517729e+00	4.99745339797734e+01	1.46921502145188e+00
1.06169555719872e+00	4.99745211324098e+01	1.47260047761808e+00
1.06414301822431e+00	4.99745082257841e+01	1.47599372813113e+00
1.06659612123026e+00	4.99744952596233e+01	1.47939479088945e+00
1.06905487922266e+00	4.99744822336538e+01	1.48280368383316e+00
1.07151930523761e+00	4.99744691475963e+01	1.48622042493938e+00
1.07398941234124e+00	4.99744560011758e+01	1.48964503223489e+00
1.07646521362983e+00	4.99744427941159e+01	1.49307752377931e+00
1.07894672222983e+00	4.99744295261347e+01	1.49651791767803e+00
1.08143395129794e+00	4.99744161969525e+01	1.49996623207432e+00
1.08392691402120e+00	4.99744028062865e+01	1.50342248515771e+00
1.08642562361706e+00	4.99743893538526e+01	1.50688669515072e+00
1.08893009333343e+00	4.99743758393666e+01	1.51035888032903e+00
1.09144033644876e+00	4.99743622625453e+01	1.51383905899840e+00
1.09395636627209e+00	4.99743486230980e+01	1.51732724951446e+00
1.09647819614318e+00	4.99743349207376e+01	1.52082347027069e+00
1.09900583943252e+00	4.99743211551720e+01	1.52432773970233e+00
1.10153930954141e+00	4.99743073261125e+01	1.52784007629005e+00
1.10407861990207e+00	4.99742934332636e+01	1.53136049855254e+00
1.10662378397766e+00	4.99742794763345e+01	1.53488902505495e+00
1.10917481526240e+00	4.99742654550299e+01	1.53842567439782e+00
1.11173172728159e+00	4.99742513690495e+01	1.54197046523231e+00
1.11429453359173e+00	4.99742372180982e+01	1.54552341624361e+00
1.11686324778056e+00	4.99742230018747e+01	1.54908454616777e+00
1.11943788346715e+00	4.99742087200782e+01	1.55265387378051e+00
1.12201845430196e+00	4.99741943724080e+01	1.55623141789352e+00
1.12460497396692e+00	4.99741799585611e+01	1.55981719737453e+00
1.12719745617551e+00	4.99741654782291e+01	1.56341123112103e+00
1.12979591467280e+00	4.99741509311083e+01	1.56701353808326e+00
1.13240036323556e+00	4.99741363168914e+01	1.57062413724817e+00
1.13501081567231e+00	4.99741216352650e+01	1.57424304764846e+00
1.13762728582343e+00	4.99741068859241e+01	1.57787028835895e+00
1.14024978756117e+00	4.99740920685520e+01	1.58150587850220e+00
1.14287833478977e+00	4.99740771828376e+01	1.58514983724017e+00
1.14551294144553e+00	4.99740622284654e+01	1.58880218377599e+00
1.14815362149688e+00	4.99740472051185e+01	1.59246293736394e+00
1.15080038894443e+00	4.99740321124794e+01	1.59613211729543e+00
1.15345325782109e+00	4.99740169502283e+01	1.59980974291067e+00
1.15611224219210e+00	4.99740017180465e+01	1.60349583358756e+00
1.15877735615512e+00	4.99739864156074e+01	1.60719040875368e+00
1.16144861384034e+00	4.99739710425918e+01	1.61089348788003e+00
1.16412602941049e+00	4.99739555986712e+01	1.61460509047867e+00
1.16680961706096e+00	4.99739400835209e+01	1.61832523610933e+00
1.16949939101987e+00	4.99739244968123e+01	1.62205394437811e+00
1.17219536554813e+00	4.99739088382145e+01	1.62579123492688e+00
1.17489755493953e+00	4.99738931073947e+01	1.62953712745104e+00
1.17760597352080e+00	4.99738773040236e+01	1.63329164168685e+00
1.18032063565173e+00	4.99738614277653e+01	1.63705479741863e+00
1.18304155572516e+00	4.99738454782838e+01	1.64082661446685e+00
1.18576874816716e+00	4.99738294552427e+01	1.64460711271352e+00
1.18850222743702e+00	4.99738133583026e+01	1.64839631206664e+00
1.19124200802737e+00	4.99737971871219e+01	1.65219423249160e+00
1.19398810446427e+00	4.99737809413578e+01	1.65600089399729e+00
1.19674053130724e+00	4.99737646206675e+01	1.65981631663542e+00
