time	V(vcomp)
0.000000000000000e+00	1.168445e-13
2.133080476196419e-13	1.451512e-13
2.666350595245523e-13	1.525438e-13
3.732890833343734e-13	1.682616e-13
5.865971309540153e-13	2.022445e-13
1.013213226193299e-12	2.787151e-13
1.565445907704825e-12	3.923795e-13
2.094131812206919e-12	5.189242e-13
2.741214653486066e-12	6.987154e-13
3.466129113037229e-12	9.330434e-13
4.430003484651395e-12	1.298581e-12
5.590217476570233e-12	1.823299e-12
7.240261615926131e-12	2.734553e-12
9.528403907675321e-12	4.347178e-12
1.345788316661145e-11	7.952816e-12
1.787240583712954e-11	1.343552e-11
2.526305625176236e-11	2.592953e-11
3.351648103217147e-11	4.487649e-11
4.430494740641785e-11	7.830798e-11
5.698405747757833e-11	1.317249e-10
7.664750055331761e-11	2.390921e-10
8.894934552545787e-11	3.209354e-10
9.565424667950783e-11	3.722343e-10
9.904800449817977e-11	4.002189e-10
1.023965692932953e-10	4.291292e-10
1.036990912822413e-10	4.407736e-10
1.050016132711874e-10	4.526285e-10
1.063041352601335e-10	4.646939e-10
1.076066572490795e-10	4.769698e-10
1.089091792380256e-10	4.894562e-10
1.102117012269716e-10	5.021531e-10
1.115142232159177e-10	5.150605e-10
1.208332114497047e-10	6.136646e-10
1.394711879172788e-10	8.442397e-10
1.767471408524271e-10	1.422115e-09
2.317021911168761e-10	2.521788e-09
2.909928306023799e-10	3.989338e-09
3.163882054246043e-10	4.730305e-09
3.402132127830029e-10	5.506622e-09
3.567452237573509e-10	6.083686e-09
3.757783083188369e-10	6.798976e-09
4.138444774418090e-10	8.357328e-09
4.622030537726212e-10	1.053938e-08
5.085398620330373e-10	1.286360e-08
5.581793418153466e-10	1.561413e-08
6.036890857374513e-10	1.837468e-08
6.516900523293414e-10	2.153804e-08
6.976406179316790e-10	2.480529e-08
7.455974568440625e-10	2.846595e-08
7.919493754450798e-10	3.224618e-08
8.395932874239655e-10	3.638147e-08
8.861078445611910e-10	4.066200e-08
9.335687122763613e-10	4.527836e-08
9.802453602589212e-10	5.002763e-08
1.019733795677038e-09	5.424724e-08
1.053241660386299e-09	5.798685e-08
1.087638638525344e-09	6.197692e-08
1.135087250396269e-09	6.767399e-08
1.188240103594083e-09	7.427734e-08
1.217345725679818e-09	7.806796e-08
1.246451347765554e-09	8.195725e-08
1.275556969851290e-09	8.594522e-08
1.304662591937025e-09	9.003187e-08
1.333768214022761e-09	9.421720e-08
1.362873836108497e-09	9.850120e-08
1.391979458194232e-09	1.028839e-07
1.467309175293086e-09	1.146247e-07
1.561104911610638e-09	1.301713e-07
1.674433750334050e-09	1.503672e-07
1.837880843158351e-09	1.822285e-07
2.065824009947829e-09	2.323816e-07
2.458409306861681e-09	3.327753e-07
2.950389601728727e-09	4.805962e-07
3.435886520170314e-09	6.521450e-07
3.953823798411881e-09	8.638227e-07
4.433208427665929e-09	1.086431e-06
4.935697926005377e-09	1.347775e-06
