Freq.	Vy/Vx
1.00000000000000e+000	1.22129901156757e+002	1.77902846691898e+002
1.00230523807790e+000	1.22129874358238e+002	1.77898016584886e+002
1.00461579027840e+000	1.22129847430975e+002	1.77893175360648e+002
1.00693166885180e+000	1.22129820383135e+002	1.77888323012368e+002
1.00925288607668e+000	1.22129793211595e+002	1.77883459499683e+002
1.01157945425990e+000	1.22129765912143e+002	1.77878584807952e+002
1.01391138573668e+000	1.22129738485449e+002	1.77873698914306e+002
1.01624869287070e+000	1.22129710933402e+002	1.77868801793694e+002
1.01859138805412e+000	1.22129683254120e+002	1.77863893408594e+002
1.02093948370768e+000	1.22129655449532e+002	1.77858973741923e+002
1.02329299228075e+000	1.22129627520269e+002	1.77854042765257e+002
1.02565192625141e+000	1.22129599459565e+002	1.77849100451117e+002
1.02801629812647e+000	1.22129571266821e+002	1.77844146772792e+002
1.03038612044162e+000	1.22129542939035e+002	1.77839181714873e+002
1.03276140576140e+000	1.22129514491601e+002	1.77834205244766e+002
1.03514216667934e+000	1.22129485910310e+002	1.77829217328755e+002
1.03752841581801e+000	1.22129457192170e+002	1.77824217954619e+002
1.03992016582906e+000	1.22129428348846e+002	1.77819207085770e+002
1.04231742939330e+000	1.22129399363690e+002	1.77814184694830e+002
1.04472021922080e+000	1.22129370252168e+002	1.77809150763794e+002
1.04712854805090e+000	1.22129341003789e+002	1.77804105264394e+002
1.04954242865232e+000	1.22129311620386e+002	1.77799048167700e+002
1.05196187382322e+000	1.22129282102526e+002	1.77793979439590e+002
1.05438689639126e+000	1.22129252443476e+002	1.77788899063430e+002
1.05681750921366e+000	1.22129222654980e+002	1.77783807019154e+002
1.05925372517729e+000	1.22129192722700e+002	1.77778703255666e+002
1.06169555719872e+000	1.22129162663486e+002	1.77773587783484e+002
1.06414301822431e+000	1.22129132462909e+002	1.77768460537054e+002
1.06659612123026e+000	1.22129102108167e+002	1.77763321517869e+002
1.06905487922266e+000	1.22129071625641e+002	1.77758170681106e+002
1.07151930523761e+000	1.22129041008587e+002	1.77753008011080e+002
1.07398941234124e+000	1.22129010236586e+002	1.77747833473619e+002
1.07646521362983e+000	1.22128979329961e+002	1.77742647043480e+002
1.07894672222983e+000	1.22128948285632e+002	1.77737448699966e+002
1.08143395129794e+000	1.22128917089331e+002	1.77732238408187e+002
1.08392691402120e+000	1.22128885755179e+002	1.77727016138011e+002
1.08642562361706e+000	1.22128854271456e+002	1.77721781868663e+002
1.08893009333343e+000	1.22128822646114e+002	1.77716535570690e+002
1.09144033644876e+000	1.22128790871112e+002	1.77711277220653e+002
1.09395636627209e+000	1.22128758954387e+002	1.77706006787541e+002
1.09647819614318e+000	1.22128726890345e+002	1.77700724245571e+002
1.09900583943252e+000	1.22128694675790e+002	1.77695429558914e+002
1.10153930954141e+000	1.22128662316270e+002	1.77690122709992e+002
1.10407861990207e+000	1.22128629806134e+002	1.77684803665521e+002
1.10662378397766e+000	1.22128597149661e+002	1.77679472403221e+002
1.10917481526240e+000	1.22128564333754e+002	1.77674128882803e+002
1.11173172728159e+000	1.22128531373901e+002	1.77668773100743e+002
1.11429453359173e+000	1.22128498254417e+002	1.77663404998415e+002
1.11686324778056e+000	1.22128464989540e+002	1.77658024570117e+002
1.11943788346715e+000	1.22128431571086e+002	1.77652631774587e+002
1.12201845430196e+000	1.22128397999613e+002	1.77647226588749e+002
1.12460497396692e+000	1.22128364267052e+002	1.77641808990512e+002
1.12719745617551e+000	1.22128330384945e+002	1.77636378939228e+002
1.12979591467280e+000	1.22128296344047e+002	1.77630936423148e+002
1.13240036323556e+000	1.22128262148446e+002	1.77625481393709e+002
1.13501081567231e+000	1.22128227788847e+002	1.77620013832012e+002
1.13762728582343e+000	1.22128193274423e+002	1.77614533714701e+002
1.14024978756117e+000	1.22128158608106e+002	1.77609041007226e+002
1.14287833478977e+000	1.22128123774373e+002	1.77603535681853e+002
1.14551294144553e+000	1.22128088779837e+002	1.77598017702186e+002
1.14815362149688e+000	1.22128053628785e+002	1.77592487053938e+002
1.15080038894443e+000	1.22128018311831e+002	1.77586943706537e+002
1.15345325782109e+000	1.22127982836770e+002	1.77581387616622e+002
1.15611224219210e+000	1.22127947188097e+002	1.77575818761984e+002
1.15877735615512e+000	1.22127911386123e+002	1.77570237129251e+002
1.16144861384034e+000	1.22127875418830e+002	1.77564642663597e+002
1.16412602941049e+000	1.22127839280653e+002	1.77559035355715e+002
1.16680961706096e+000	1.22127802975620e+002	1.77553415154587e+002
1.16949939101987e+000	1.22127766508082e+002	1.77547782059223e+002
1.17219536554813e+000	1.22127729862333e+002	1.77542136019271e+002
1.17489755493953e+000	1.22127693056137e+002	1.77536477011199e+002
1.17760597352080e+000	1.22127656085045e+002	1.77530805009942e+002
1.18032063565173e+000	1.22127618935901e+002	1.77525119979106e+002
1.18304155572516e+000	1.22127581619056e+002	1.77519421894753e+002
1.18576874816716e+000	1.22127544126295e+002	1.77513710722921e+002
1.18850222743702e+000	1.22127506462980e+002	1.77507986431929e+002
1.19124200802737e+000	1.22127468630826e+002	1.77502248998591e+002
1.19398810446427e+000	1.22127430615393e+002	1.77496498381349e+002
1.19674053130724e+000	1.22127392430808e+002	1.77490734570411e+002
1.19949930314938e+000	1.22127354068737e+002	1.77484957515918e+002
1.20226443461741e+000	1.22127315533343e+002	1.77479167194052e+002
1.20503594037179e+000	1.22127276815256e+002	1.77473363585814e+002
1.20781383510678e+000	1.22127237920926e+002	1.77467546641479e+002
1.21059813355048e+000	1.22127198843438e+002	1.77461716341222e+002
1.21338885046497e+000	1.22127159596749e+002	1.77455872652517e+002
1.21618600064636e+000	1.22127120160361e+002	1.77450015553799e+002
1.21898959892486e+000	1.22127080544418e+002	1.77444144996497e+002
1.22179966016487e+000	1.22127040744462e+002	1.77438260961650e+002
1.22461619926504e+000	1.22127000763353e+002	1.77432363418444e+002
1.22743923115840e+000	1.22126960596525e+002	1.77426452333162e+002
1.23026877081238e+000	1.22126920249333e+002	1.77420527680068e+002
1.23310483322890e+000	1.22126879712252e+002	1.77414589422489e+002
1.23594743344451e+000	1.22126838980732e+002	1.77408637530257e+002
1.23879658653036e+000	1.22126798072392e+002	1.77402671969497e+002
1.24165230759241e+000	1.22126756971652e+002	1.77396692720967e+002
1.24451461177138e+000	1.22126715686244e+002	1.77390699748899e+002
1.24738351424294e+000	1.22126674204068e+002	1.77384693003122e+002
1.25025903021771e+000	1.22126632535565e+002	1.77378672483879e+002
1.25314117494141e+000	1.22126590671083e+002	1.77372638139461e+002
1.25602996369487e+000	1.22126548618381e+002	1.77366589940108e+002
1.25892541179416e+000	1.22126506369193e+002	1.77360527857187e+002
1.26182753459066e+000	1.22126463926327e+002	1.77354451859078e+002
1.26473634747115e+000	1.22126421285206e+002	1.77348361916657e+002
1.26765186585784e+000	1.22126378448551e+002	1.77342257987336e+002
1.27057410520854e+000	1.22126335420503e+002	1.77336140054911e+002
1.27350308101666e+000	1.22126292187738e+002	1.77330008075810e+002
1.27643880881134e+000	1.22126248758053e+002	1.77323862028817e+002
1.27938130415752e+000	1.22126205121808e+002	1.77317701869277e+002
1.28233058265602e+000	1.22126161290486e+002	1.77311527574921e+002
1.28528665994361e+000	1.22126117263111e+002	1.77305339106766e+002
1.28824955169313e+000	1.22126073028898e+002	1.77299136433674e+002
1.29121927361353e+000	1.22126028588180e+002	1.77292919528006e+002
1.29419584144998e+000	1.22125983947446e+002	1.77286688361234e+002
1.29717927098395e+000	1.22125939094521e+002	1.77280442882439e+002
1.30016957803328e+000	1.22125894039734e+002	1.77274183083323e+002
1.30316677845229e+000	1.22125848777054e+002	1.77267908910975e+002
