time	V(out)
0.000000000000000e+00	-3.113783e-03
9.999999960041972e-12	-3.113783e-03
1.999999992008394e-11	-3.113783e-03
1.249599238896588e-10	-3.113783e-03
2.299198478592336e-10	-3.113783e-03
3.348797718288085e-10	-3.113783e-03
4.398396957983833e-10	-3.113783e-03
5.447996197679582e-10	-3.113783e-03
6.497595437375330e-10	-3.113783e-03
7.547194677071076e-10	-3.113783e-03
1.000000000000000e-09	-3.113783e-03
1.008800000000000e-09	-3.113783e-03
1.026400000000000e-09	-3.113783e-03
1.132000000000000e-09	-3.113783e-03
1.272800000000000e-09	-3.113783e-03
1.554400000000000e-09	-3.113783e-03
2.011530474846719e-09	-3.113783e-03
2.495055265546153e-09	-3.113783e-03
3.150355191806990e-09	-3.113782e-03
3.966031254433755e-09	-3.113781e-03
5.337546667172354e-09	-3.113777e-03
7.165155438314486e-09	-3.113765e-03
9.196601968527344e-09	-3.113737e-03
1.189864879902277e-08	-3.113657e-03
1.597502135464199e-08	-3.113396e-03
2.162920000240431e-08	-3.112573e-03
2.976450515216087e-08	-3.109385e-03
4.451565153238183e-08	-3.095797e-03
5.934929547699399e-08	-3.068077e-03
7.390262013871715e-08	-3.020543e-03
8.929462225524982e-08	-2.944232e-03
1.065210264348642e-07	-2.818783e-03
1.409738347940929e-07	-2.435421e-03
2.098794515125502e-07	-1.207776e-03
3.334946754999300e-07	1.758895e-03
3.362450736015270e-07	1.839483e-03
3.527474622111092e-07	2.395107e-03
3.747506470238855e-07	3.176736e-03
3.990893513682466e-07	4.088987e-03
4.268136043784676e-07	5.187876e-03
4.536663341733065e-07	6.308436e-03
4.820484341838897e-07	7.554090e-03
5.184814711968690e-07	9.237261e-03
5.627955258502900e-07	1.140034e-02
6.157571352101891e-07	1.415267e-02
6.877029003578036e-07	1.815085e-02
7.646649906317416e-07	2.277805e-02
8.935128241773767e-07	3.123266e-02
1.042082876315308e-06	4.198346e-02
1.264509166292016e-06	5.992686e-02
1.565978114191652e-06	8.710128e-02
1.978586944054851e-06	1.275227e-01
2.206951497440833e-06	1.519904e-01
2.376041803910953e-06	1.707489e-01
2.443430887428815e-06	1.784092e-01
2.512055166297605e-06	1.862575e-01
2.515055166297606e-06	1.866029e-01
2.527055166297606e-06	1.879870e-01
2.646833333333330e-06	2.019147e-01
2.646844718190013e-06	2.019161e-01
2.646867487903379e-06	2.019187e-01
2.647833333333330e-06	2.020319e-01
2.647834023751556e-06	2.020319e-01
2.647835404588009e-06	2.020321e-01
2.648247126318360e-06	2.020803e-01
2.648658848048710e-06	2.021286e-01
2.649070569779060e-06	2.021768e-01
2.649482291509410e-06	2.022251e-01
2.649894013239761e-06	2.022733e-01
2.650305734970111e-06	2.023216e-01
2.650717456700461e-06	2.023698e-01
2.651729307325797e-06	2.024884e-01
2.653248820760953e-06	2.026665e-01
2.656190023601022e-06	2.030113e-01
2.662072429281162e-06	2.037012e-01
2.673837240641442e-06	2.050811e-01
2.689628414440766e-06	2.069331e-01
2.720150287290094e-06	2.105093e-01
2.769015535573733e-06	2.162206e-01
2.833863959451399e-06	2.237637e-01
2.930348243780379e-06	2.349195e-01
3.019207171426244e-06	2.451256e-01
3.028690152951263e-06	2.462090e-01
3.034303396791224e-06	2.468497e-01
3.038862947370588e-06	2.473700e-01
3.041649488839851e-06	2.476878e-01
3.043623760368676e-06	2.479130e-01
3.045967546167761e-06	2.481803e-01
3.048864226204953e-06	2.485107e-01
3.051521536602409e-06	2.488136e-01
3.056836157397323e-06	2.494192e-01
3.062843421990269e-06	2.501026e-01
3.074857951176162e-06	2.514643e-01
3.097814080253039e-06	2.540480e-01
3.119590132588139e-06	2.564760e-01
3.133808476624975e-06	2.580438e-01
3.149677059678437e-06	2.597741e-01
3.166735340180567e-06	2.616132e-01
3.186140383271450e-06	2.636791e-01
3.206320868005771e-06	2.657974e-01
3.230080093798090e-06	2.682520e-01
3.256240556847867e-06	2.709047e-01
3.290092869969524e-06	2.742612e-01
3.331313130115663e-06	2.782271e-01
3.396920555064059e-06	2.842781e-01
3.490642419237032e-06	2.924237e-01
3.618817525895986e-06	3.026311e-01
3.815154440070619e-06	3.161843e-01
4.198944358558097e-06	3.391803e-01
4.299371771958933e-06	3.440070e-01
4.433274989826714e-06	3.495859e-01
4.514235705565755e-06	3.528721e-01
4.595196421304796e-06	3.559542e-01
4.676157137043837e-06	3.588319e-01
4.757117852782878e-06	3.615055e-01
4.838078568521918e-06	3.639748e-01
4.919039284260959e-06	3.662398e-01
5.000000000000000e-06	3.683006e-01
5.000004152808398e-06	3.683008e-01
5.000012458425195e-06	3.683010e-01
5.000999999999999e-06	3.683257e-01
5.001008800000000e-06	3.683259e-01
5.001026400000000e-06	3.683263e-01
5.001426142070673e-06	3.683363e-01
5.001825884141346e-06	3.683463e-01
5.002225626212019e-06	3.683563e-01
5.002625368282691e-06	3.683663e-01
5.003025110353364e-06	3.683763e-01
5.003424852424037e-06	3.683862e-01
5.003824594494710e-06	3.683962e-01
5.004895227966524e-06	3.684229e-01
5.006445017941669e-06	3.684615e-01
5.009533000639307e-06	3.685382e-01
5.012626528197708e-06	3.686149e-01
5.015899550998383e-06	3.686958e-01
5.020131669880426e-06	3.688001e-01
5.027995434950227e-06	3.689936e-01
5.039468119216739e-06	3.692769e-01
5.053563948064101e-06	3.696306e-01
5.071163872620718e-06	3.700885e-01
5.089215360369556e-06	3.705913e-01
5.125318335867235e-06	3.717194e-01
5.197524286862590e-06	3.743575e-01
5.297176534864631e-06	3.785316e-01
5.318425532167132e-06	3.795362e-01
5.360923526772136e-06	3.817250e-01
5.397059863413724e-06	3.836772e-01
5.430436965660575e-06	3.855718e-01
5.467855943018850e-06	3.877787e-01
5.497749338240140e-06	3.895995e-01
5.530938970629415e-06	3.916821e-01
5.567989030237415e-06	3.940744e-01
5.612853524093116e-06	3.970693e-01
5.680208662235645e-06	4.017377e-01
5.754854414186695e-06	4.071725e-01
5.894272275457264e-06	4.179431e-01
6.056793226407915e-06	4.314414e-01
6.327297472342187e-06	4.559061e-01
6.702532632265102e-06	4.927881e-01
7.102147667982914e-06	5.344619e-01
7.103147667982914e-06	5.345700e-01
7.105147667982915e-06	5.347900e-01
7.109147667982917e-06	5.352305e-01
7.117147667982921e-06	5.361122e-01
7.229147667982977e-06	5.485824e-01
7.288817048747313e-06	5.552844e-01
7.348486429511649e-06	5.620311e-01
7.408155810275985e-06	5.688226e-01
7.467825191040321e-06	5.756588e-01
7.527494571804657e-06	5.825398e-01
7.587163952568993e-06	5.894655e-01
7.646833333333329e-06	5.964360e-01
7.646843235264970e-06	5.964372e-01
7.646863039128253e-06	5.964395e-01
7.647833333333328e-06	5.965531e-01
7.647834240381038e-06	5.965532e-01
7.647836054476460e-06	5.965534e-01
7.648202891532207e-06	5.965964e-01
7.648569728587956e-06	5.966393e-01
7.648936565643704e-06	5.966823e-01
7.649303402699451e-06	5.967252e-01
7.649670239755198e-06	5.967682e-01
7.650037076810947e-06	5.968112e-01
7.650403913866695e-06	5.968542e-01
7.651319731651303e-06	5.969614e-01
7.652597298286890e-06	5.971111e-01
7.654984543606743e-06	5.973908e-01
7.659759034246452e-06	5.979502e-01
7.669308015525868e-06	5.990692e-01
7.683911473857552e-06	6.007798e-01
7.707072263469025e-06	6.034893e-01
7.753393842691971e-06	6.088929e-01
7.809421793895497e-06	6.153932e-01
7.897601315453516e-06	6.255347e-01
8.022717409550523e-06	6.398088e-01
8.037313756863997e-06	6.414632e-01
8.047056406442742e-06	6.425629e-01
8.050911431799117e-06	6.429978e-01
8.054006511149553e-06	6.433468e-01
8.056283950012777e-06	6.436035e-01
8.058858911442005e-06	6.438935e-01
8.062568414728900e-06	6.443111e-01
8.066523598203527e-06	6.447557e-01
8.074433965152780e-06	6.456428e-01
8.084925426359239e-06	6.468138e-01
8.105908348772160e-06	6.491365e-01
8.127779506942889e-06	6.515336e-01
8.141395440672908e-06	6.530080e-01
8.158918575823425e-06	6.548826e-01
8.176453030805465e-06	6.567351e-01
8.197414594256456e-06	6.589185e-01
8.219314871138918e-06	6.611634e-01
8.245896134454897e-06	6.638380e-01
8.276291834566722e-06	6.668294e-01
8.315887375426954e-06	6.706212e-01
8.364465748856088e-06	6.751106e-01
8.434578517696782e-06	6.812899e-01
8.526556881002636e-06	6.888426e-01
8.690016841738536e-06	7.008864e-01
8.934856222243857e-06	7.158668e-01
9.022953188102520e-06	7.212158e-01
9.111050153961182e-06	7.261779e-01
9.199147119819846e-06	7.307530e-01
9.287244085678509e-06	7.349411e-01
9.375341051537173e-06	7.387423e-01
9.463438017395835e-06	7.421566e-01
9.551534983254498e-06	7.451838e-01
9.679534983254498e-06	7.492503e-01
9.725315699932426e-06	7.505977e-01
9.771096416610356e-06	7.518872e-01
9.816877133288284e-06	7.531188e-01
9.862657849966213e-06	7.542926e-01
9.908438566644141e-06	7.554085e-01
9.954219283322071e-06	7.564666e-01
9.999999999999999e-06	7.574668e-01
1.000000300615239e-05	7.574669e-01
1.000000901845717e-05	7.574670e-01
1.000100000000000e-05	7.574881e-01
1.000100880000000e-05	7.574883e-01
1.000102640000000e-05	7.574887e-01
1.000142321071516e-05	7.574972e-01
1.000182002143032e-05	7.575056e-01
1.000221683214548e-05	7.575141e-01
1.000261364286064e-05	7.575225e-01
1.000301045357580e-05	7.575310e-01
1.000340726429096e-05	7.575394e-01
1.000380407500612e-05	7.575479e-01
1.000482042848458e-05	7.575695e-01
1.000620704554304e-05	7.575989e-01
1.000890737414070e-05	7.576561e-01
1.001203123818432e-05	7.577221e-01
1.001542560256374e-05	7.577936e-01
1.001901298246207e-05	7.578689e-01
1.002618774225873e-05	7.580191e-01
1.003751794570675e-05	7.582567e-01
1.005085347570889e-05	7.585404e-01
1.006678651010259e-05	7.588912e-01
1.008327430853774e-05	7.592804e-01
1.011624990540805e-05	7.601589e-01
1.018220109914867e-05	7.622346e-01
1.027406772035612e-05	7.657188e-01
1.036807148845604e-05	7.699272e-01
1.043235780960852e-05	7.731974e-01
1.049188457750511e-05	7.764815e-01
1.052394960164112e-05	7.783405e-01
1.056407762871165e-05	7.807557e-01
1.060434244070796e-05	7.832562e-01
1.065187150423158e-05	7.863188e-01
1.072853176256955e-05	7.914643e-01
1.094711333568687e-05	8.075013e-01
1.111151435202890e-05	8.207043e-01
1.134226182724678e-05	8.407152e-01
1.165683863465253e-05	8.702381e-01
1.207210043583195e-05	9.114612e-01
1.207310043583195e-05	9.115641e-01
1.207510043583195e-05	9.117739e-01
1.207910043583195e-05	9.121937e-01
1.208710043583195e-05	9.130343e-01
1.210286742979836e-05	9.146947e-01
1.250592116424746e-05	9.583020e-01
1.251992116424747e-05	9.598547e-01
1.264683333333333e-05	9.740257e-01
1.264684653333333e-05	9.740272e-01
1.264687293333333e-05	9.740301e-01
1.264783333333333e-05	9.741380e-01
1.264783402910188e-05	9.741381e-01
1.264783542063897e-05	9.741383e-01
1.264816386909847e-05	9.741752e-01
1.264849231755796e-05	9.742121e-01
1.264882076601746e-05	9.742490e-01
1.264914921447695e-05	9.742859e-01
1.264947766293645e-05	9.743228e-01
1.264980611139594e-05	9.743597e-01
1.265013455985544e-05	9.743966e-01
1.265090007719068e-05	9.744827e-01
1.265201373718468e-05	9.746078e-01
1.265380270200597e-05	9.748089e-01
1.265738063164854e-05	9.752111e-01
1.266453649093369e-05	9.760157e-01
1.267778597234737e-05	9.775050e-01
1.269546269054264e-05	9.794905e-01
1.273081612693317e-05	9.834526e-01
1.278232223099639e-05	9.891996e-01
1.285425047027315e-05	9.971653e-01
1.295975316545773e-05	1.008755e+00
1.302274629175154e-05	1.015614e+00
1.303025084378926e-05	1.016427e+00
1.303541892964950e-05	1.016986e+00
1.303998417665784e-05	1.017479e+00
1.304201848381656e-05	1.017699e+00
1.304492815087442e-05	1.018013e+00
1.304732563850154e-05	1.018272e+00
1.304999120361080e-05	1.018560e+00
1.305434402740982e-05	1.019030e+00
1.305992646087295e-05	1.019632e+00
1.307109132779922e-05	1.020832e+00
1.308937003069858e-05	1.022784e+00
1.311093028039734e-05	1.025065e+00
1.312888899319279e-05	1.026944e+00
1.314313499343722e-05	1.028416e+00
1.316065284202545e-05	1.030203e+00
1.317918884217233e-05	1.032070e+00
1.320002358785676e-05	1.034136e+00
1.322310716309561e-05	1.036386e+00
1.325004012628146e-05	1.038959e+00
1.328295321790352e-05	1.042027e+00
1.332331080010705e-05	1.045676e+00
1.337820228167189e-05	1.050446e+00
1.344947891040654e-05	1.056306e+00
1.356093264836296e-05	1.064748e+00
1.373156225430517e-05	1.076080e+00
1.403023278777332e-05	1.092342e+00
1.410157937995766e-05	1.096107e+00
1.417292597214200e-05	1.099601e+00
1.424427256432634e-05	1.102824e+00
1.431561915651068e-05	1.105776e+00
1.438696574869502e-05	1.108456e+00
1.445831234087936e-05	1.110865e+00
1.452965893306370e-05	1.113003e+00
1.465765893306370e-05	1.116543e+00
1.474400000000000e-05	1.118698e+00
1.478057142857143e-05	1.119549e+00
1.481714285714286e-05	1.120362e+00
1.485371428571428e-05	1.121137e+00
1.489028571428571e-05	1.121874e+00
1.492685714285714e-05	1.122573e+00
1.496342857142857e-05	1.123235e+00
1.500000000000000e-05	1.123858e+00
1.500000440000009e-05	1.123858e+00
1.500001320000026e-05	1.123858e+00
1.500100000000000e-05	1.123875e+00
1.500100880000000e-05	1.123875e+00
1.500102640000000e-05	1.123875e+00
1.500142353361157e-05	1.123882e+00
1.500182066722315e-05	1.123889e+00
1.500221780083473e-05	1.123895e+00
1.500261493444630e-05	1.123902e+00
1.500301206805788e-05	1.123908e+00
1.500340920166946e-05	1.123915e+00
1.500380633528103e-05	1.123922e+00
1.500486999832367e-05	1.123939e+00
1.500639155872986e-05	1.123965e+00
1.500941522303240e-05	1.124015e+00
1.501252215783772e-05	1.124066e+00
1.501581766904317e-05	1.124120e+00
1.501994270642209e-05	1.124188e+00
1.502773080473682e-05	1.124315e+00
1.503935451256687e-05	1.124505e+00
1.505341199245058e-05	1.124741e+00
1.507091892459672e-05	1.125051e+00
1.508889789026555e-05	1.125401e+00
1.512485582160321e-05	1.126222e+00
1.519677168427852e-05	1.128240e+00
1.529702789449824e-05	1.131533e+00
1.530627448973637e-05	1.131898e+00
1.533797710198138e-05	1.133217e+00
1.538024725164138e-05	1.135071e+00
1.538812223665706e-05	1.135431e+00
1.540387220668841e-05	1.136175e+00
1.542223115806779e-05	1.137062e+00
1.544252412107623e-05	1.138067e+00
1.546726153815056e-05	1.139330e+00
1.550815171287326e-05	1.141489e+00
1.555000562941896e-05	1.143782e+00
1.559776125857882e-05	1.146510e+00
1.566131452947650e-05	1.150301e+00
1.572838865739314e-05	1.154518e+00
1.584776302276222e-05	1.162477e+00
1.597167854850515e-05	1.171374e+00
1.621950959999100e-05	1.190809e+00
1.653720026510896e-05	1.218271e+00
1.704349377424744e-05	1.265306e+00
1.704649377424744e-05	1.265603e+00
1.705849377424743e-05	1.266802e+00
1.707449377424741e-05	1.268406e+00
1.715625656840254e-05	1.276680e+00
1.723801936255767e-05	1.285037e+00
1.731978215671280e-05	1.293476e+00
1.740154495086793e-05	1.301998e+00
1.748330774502307e-05	1.310602e+00
1.756507053917820e-05	1.319289e+00
1.764683333333333e-05	1.328059e+00
1.764684653333333e-05	1.328060e+00
1.764687293333333e-05	1.328063e+00
1.764783333333333e-05	1.328166e+00
1.764783401039019e-05	1.328166e+00
1.764783536450392e-05	1.328167e+00
1.764826567375403e-05	1.328213e+00
1.764869598300414e-05	1.328259e+00
1.764912629225424e-05	1.328306e+00
1.764955660150435e-05	1.328352e+00
1.764998691075446e-05	1.328398e+00
1.765041722000457e-05	1.328445e+00
1.765084752925467e-05	1.328491e+00
1.765193828513506e-05	1.328609e+00
1.765365734125505e-05	1.328794e+00
1.765709420217098e-05	1.329164e+00
1.766396792400284e-05	1.329905e+00
1.767708180168270e-05	1.331318e+00
1.769419676416644e-05	1.333161e+00
1.772842668913391e-05	1.336839e+00
1.777935366600529e-05	1.342286e+00
1.784968140710364e-05	1.349752e+00
1.795313055563227e-05	1.360641e+00
1.800044890326021e-05	1.365584e+00
1.802130706727559e-05	1.367751e+00
1.802909158767747e-05	1.368558e+00
1.803443150811151e-05	1.369111e+00
1.803892263232048e-05	1.369576e+00
1.804146703341236e-05	1.369839e+00
1.804353953182124e-05	1.370053e+00
1.804590978882011e-05	1.370298e+00
1.804873557848356e-05	1.370590e+00
1.805159635131405e-05	1.370886e+00
1.805731789697502e-05	1.371477e+00
1.806349906095561e-05	1.372114e+00
1.807586138891678e-05	1.373382e+00
1.810058604483911e-05	1.375897e+00
1.812231464542791e-05	1.378083e+00
1.813651333786510e-05	1.379492e+00
1.815485891708450e-05	1.381288e+00
1.817172697078733e-05	1.382918e+00
1.819271888712349e-05	1.384914e+00
1.821411744338655e-05	1.386914e+00
1.824089225706683e-05	1.389368e+00
1.827040000734199e-05	1.392006e+00
1.831052520964895e-05	1.395489e+00
1.835879666367863e-05	1.399507e+00
1.844008401063767e-05	1.405897e+00
1.854349132372231e-05	1.413371e+00
1.870600602482850e-05	1.423695e+00
1.895663434600576e-05	1.436445e+00
1.945889098836026e-05	1.456733e+00
1.947689098836025e-05	1.457221e+00
1.949489098836026e-05	1.457697e+00
1.951289098836026e-05	1.458159e+00
1.953089098836026e-05	1.458609e+00
1.954889098836026e-05	1.459046e+00
1.956689098836026e-05	1.459471e+00
1.958489098836026e-05	1.459882e+00
1.971289098836026e-05	1.462677e+00
1.980621802327948e-05	1.464394e+00
1.983390116281099e-05	1.464867e+00
1.986158430234249e-05	1.465319e+00
