time	V(out)
0.000000000000000e+00	-7.447952e-05
9.999999960041972e-12	-7.447952e-05
1.999999992008394e-11	-7.447952e-05
1.599999993606716e-10	-7.447952e-05
3.199999987213431e-10	-7.447951e-05
5.634151083066403e-10	-7.447950e-05
7.547194210135522e-10	-7.447948e-05
1.000000000000000e-09	-7.447944e-05
1.008800000000000e-09	-7.447944e-05
1.026400000000000e-09	-7.447943e-05
1.132000000000000e-09	-7.447941e-05
1.272800000000000e-09	-7.447937e-05
1.554400000000000e-09	-7.447928e-05
2.011530520819891e-09	-7.447910e-05
2.495055441954946e-09	-7.447888e-05
3.150355680139201e-09	-7.447853e-05
3.966032226630579e-09	-7.447790e-05
5.337546049775892e-09	-7.447608e-05
7.146370402789637e-09	-7.447167e-05
8.697962845284675e-09	-7.446473e-05
1.033438215144547e-08	-7.445071e-05
1.306595584644214e-08	-7.440412e-05
1.681667124776530e-08	-7.426641e-05
2.212900183796432e-08	-7.383457e-05
2.881633634915129e-08	-7.261807e-05
3.742001159640346e-08	-6.915982e-05
4.826511659146465e-08	-5.967454e-05
6.263609778102334e-08	-3.464042e-05
7.938559009250342e-08	1.637671e-05
9.780702309476835e-08	1.052095e-04
1.231304380722947e-07	2.953928e-04
1.737772680273473e-07	9.150974e-04
2.750709279374527e-07	2.804941e-03
3.642993692214149e-07	5.118924e-03
4.258632395359985e-07	7.173525e-03
4.842147288252482e-07	9.455343e-03
5.148974860745305e-07	1.079355e-02
5.535420613023769e-07	1.263028e-02
5.904704615787488e-07	1.451814e-02
6.356536761356232e-07	1.703344e-02
7.069553560683611e-07	2.139103e-02
7.841793224798747e-07	2.668789e-02
9.082747347636933e-07	3.642961e-02
1.058882179980787e-06	5.021592e-02
1.267448563311616e-06	7.299142e-02
1.550391091250993e-06	1.104221e-01
1.922876309981257e-06	1.686971e-01
2.132715536362645e-06	2.060040e-01
2.227154880570553e-06	2.245876e-01
2.416033568986370e-06	2.637809e-01
2.419033568986370e-06	2.644303e-01
2.431033568986371e-06	2.670540e-01
2.646833333333330e-06	3.162800e-01
2.646846533333330e-06	3.162832e-01
2.646872933333330e-06	3.162894e-01
2.647031333333330e-06	3.163270e-01
2.647242533333329e-06	3.163771e-01
2.647496533333328e-06	3.164374e-01
2.647833333333330e-06	3.165173e-01
2.647834061973345e-06	3.165175e-01
2.647835519253374e-06	3.165179e-01
2.647960122888946e-06	3.165474e-01
2.648084726524518e-06	3.165770e-01
2.648209330160091e-06	3.166066e-01
2.648333933795663e-06	3.166362e-01
2.648458537431235e-06	3.166657e-01
2.648583141066808e-06	3.166953e-01
2.648707744702380e-06	3.167249e-01
2.648999343870462e-06	3.167941e-01
2.649349027351734e-06	3.168772e-01
2.649768705169179e-06	3.169768e-01
2.650999453573855e-06	3.172692e-01
2.651987110228543e-06	3.175040e-01
2.653506463335369e-06	3.178653e-01
2.656352458873241e-06	3.185427e-01
2.692622726008021e-06	3.272458e-01
2.725815077178295e-06	3.353221e-01
2.783736724140697e-06	3.496371e-01
2.856194396013926e-06	3.679659e-01
2.971809003809051e-06	3.982414e-01
3.156572435676584e-06	4.482522e-01
3.202763293643467e-06	4.611833e-01
3.295145009577233e-06	4.876702e-01
3.311228150811500e-06	4.923376e-01
3.343394433280033e-06	5.017629e-01
3.352521134824599e-06	5.044453e-01
3.361995383382419e-06	5.072365e-01
3.365685041008106e-06	5.083242e-01
3.368272663147835e-06	5.090873e-01
3.371236544783321e-06	5.099615e-01
3.373896249193544e-06	5.107460e-01
3.377080755412987e-06	5.116856e-01
3.382488809715089e-06	5.132812e-01
3.390702368280583e-06	5.157046e-01
3.404116351870951e-06	5.196618e-01
3.419615242405831e-06	5.242324e-01
3.436457997245754e-06	5.291960e-01
3.452799801164171e-06	5.340078e-01
3.469971595584465e-06	5.390590e-01
3.487983246717889e-06	5.443511e-01
3.507305830902079e-06	5.500212e-01
3.529647941825032e-06	5.565673e-01
3.557328754894126e-06	5.646629e-01
3.591749176650616e-06	5.747066e-01
3.635588309280035e-06	5.874611e-01
3.694152929807386e-06	6.044334e-01
3.774156403684287e-06	6.274918e-01
3.892702914555457e-06	6.613826e-01
4.074865369294838e-06	7.127376e-01
4.134668450557172e-06	7.296278e-01
4.194471531819507e-06	7.464194e-01
4.254274613081842e-06	7.631126e-01
4.314077694344176e-06	7.797072e-01
4.373880775606511e-06	7.962034e-01
4.433683856868846e-06	8.126011e-01
4.493486938131181e-06	8.289003e-01
5.000000000000000e-06	9.638230e-01
5.000004400000088e-06	9.638242e-01
5.000013200000263e-06	9.638264e-01
5.000136400002727e-06	9.638585e-01
5.000277200005544e-06	9.638953e-01
5.000495110469143e-06	9.639520e-01
5.000730974575951e-06	9.640135e-01
5.000999999999999e-06	9.640836e-01
5.001008799999999e-06	9.640859e-01
5.001026399999999e-06	9.640905e-01
5.001272800000003e-06	9.641547e-01
5.001554400000007e-06	9.642280e-01
5.002002936596383e-06	9.643449e-01
5.002482154814532e-06	9.644697e-01
5.003124918164490e-06	9.646372e-01
5.003929666616545e-06	9.648468e-01
5.005103132779903e-06	9.651525e-01
5.006988012915223e-06	9.656433e-01
5.010135022042544e-06	9.664627e-01
5.012940811936118e-06	9.671931e-01
5.016031559350309e-06	9.679975e-01
5.020905789140553e-06	9.692656e-01
5.029244260229808e-06	9.714341e-01
5.040521064958588e-06	9.743668e-01
5.055083941550571e-06	9.781582e-01
5.075033407058643e-06	9.833668e-01
5.094490214401511e-06	9.884776e-01
5.133403829087246e-06	9.988130e-01
5.209497675363413e-06	1.019376e+00
5.338950256057225e-06	1.055080e+00
5.383051739695682e-06	1.067566e+00
5.384429911059384e-06	1.067958e+00
5.387186253786788e-06	1.068745e+00
5.392698939241595e-06	1.070319e+00
5.401282826301332e-06	1.072776e+00
5.410114106502916e-06	1.075310e+00
5.427776666906083e-06	1.080396e+00
5.449711018401307e-06	1.086748e+00
5.485615766952197e-06	1.097222e+00
5.524987454959929e-06	1.108814e+00
5.620269539132756e-06	1.137354e+00
5.909778652589981e-06	1.228787e+00
6.199287766047206e-06	1.325805e+00
6.488796879504431e-06	1.428407e+00
6.778305992961656e-06	1.536595e+00
7.067815106418881e-06	1.650367e+00
7.357324219876105e-06	1.769723e+00
7.646833333333329e-06	1.894664e+00
7.646846533333330e-06	1.894670e+00
7.646872933333329e-06	1.894682e+00
7.647031333333329e-06	1.894751e+00
7.647410933333331e-06	1.894919e+00
7.647833333333328e-06	1.895105e+00
7.647834061973343e-06	1.895105e+00
7.647835519253373e-06	1.895106e+00
7.647888397700155e-06	1.895129e+00
7.647941276146938e-06	1.895152e+00
7.647994154593720e-06	1.895175e+00
7.648047033040501e-06	1.895199e+00
7.648099911487284e-06	1.895222e+00
7.648152789934066e-06	1.895245e+00
7.648205668380849e-06	1.895269e+00
7.648476398751655e-06	1.895388e+00
7.648724086562531e-06	1.895497e+00
7.649038801244733e-06	1.895636e+00
7.649371113246007e-06	1.895782e+00
7.649826211119896e-06	1.895983e+00
7.651098025578453e-06	1.896543e+00
7.660612020258423e-06	1.900740e+00
7.670126014938394e-06	1.904943e+00
7.679640009618364e-06	1.909152e+00
7.689154004298333e-06	1.913368e+00
7.698667998978303e-06	1.917590e+00
7.708181993658274e-06	1.921818e+00
7.717695988338243e-06	1.926053e+00
7.765761244207547e-06	1.947529e+00
7.827886396355019e-06	1.975505e+00
7.921768414090693e-06	2.018185e+00
8.032813934569649e-06	2.069215e+00
8.038170292281554e-06	2.071699e+00
8.042825146568273e-06	2.073859e+00
8.044905803872221e-06	2.074826e+00
8.047915622401747e-06	2.076224e+00
8.050401516396223e-06	2.077379e+00
8.053096770932841e-06	2.078632e+00
8.057345088032374e-06	2.080607e+00
8.063421839189164e-06	2.083434e+00
8.075575341502740e-06	2.089090e+00
8.096331149981256e-06	2.098748e+00
8.117985991714135e-06	2.108821e+00
8.132277182816980e-06	2.115462e+00
8.146220605474068e-06	2.121935e+00
8.162343701377952e-06	2.129411e+00
8.179305875829552e-06	2.137266e+00
8.196527171194089e-06	2.145228e+00
8.215058263867147e-06	2.153783e+00
8.234269532898004e-06	2.162636e+00
8.260509328109889e-06	2.174701e+00
8.290437678348647e-06	2.188425e+00
8.333458173712557e-06	2.208080e+00
8.391036961078564e-06	2.234246e+00
8.491050660221409e-06	2.279356e+00
8.608592428477187e-06	2.331766e+00
8.812285448226194e-06	2.420918e+00
9.148166778744714e-06	2.564853e+00
9.328237338962959e-06	2.639968e+00
9.999999999999999e-06	2.907824e+00
1.000000440000006e-05	2.907826e+00
1.000001320000019e-05	2.907829e+00
1.000015417142874e-05	2.907883e+00
1.000029514285728e-05	2.907937e+00
1.000043611428582e-05	2.907991e+00
1.000057708571437e-05	2.908045e+00
1.000071805714291e-05	2.908099e+00
1.000085902857146e-05	2.908153e+00
1.000100000000000e-05	2.908207e+00
1.000100880000000e-05	2.908210e+00
1.000102640000000e-05	2.908217e+00
1.000127280000000e-05	2.908311e+00
1.000155440000000e-05	2.908419e+00
1.000198543856240e-05	2.908584e+00
1.000245586495462e-05	2.908764e+00
1.000307329629498e-05	2.909000e+00
1.000385602565622e-05	2.909299e+00
1.000493799578124e-05	2.909713e+00
1.000652319337528e-05	2.910319e+00
1.000969358856336e-05	2.911530e+00
1.001276786641179e-05	2.912705e+00
1.001600992586661e-05	2.913943e+00
1.002037365756049e-05	2.915609e+00
1.002834061882634e-05	2.918648e+00
