Freq.	V(vf)
1.00000000000000e+000	(3.36475034466182e+001dB,-1.79999726026039e+002°)
1.00230523807790e+000	(3.36475034466344e+001dB,-1.79999756305581e+002°)
1.00461579027840e+000	(3.36475034465959e+001dB,-1.79999786583831e+002°)
1.00693166885180e+000	(3.36475034466075e+001dB,-1.79999816860950e+002°)
1.00925288607668e+000	(3.36475034466166e+001dB,-1.79999847137098e+002°)
1.01157945425990e+000	(3.36475034466235e+001dB,-1.79999877412435e+002°)
1.01391138573668e+000	(3.36475034466280e+001dB,-1.79999907687123e+002°)
1.01624869287070e+000	(3.36475034465778e+001dB,-1.79999937961320e+002°)
1.01859138805412e+000	(3.36475034465776e+001dB,-1.79999968235189e+002°)
1.02093948370768e+000	(3.36475034465620e+001dB,-1.79999998508890e+002°)
1.02329299228075e+000	(3.36475034465571e+001dB,1.79999971217417e+002°)
1.02565192625141e+000	(3.36475034465499e+001dB,1.79999940943572e+002°)
1.02801629812647e+000	(3.36475034464880e+001dB,1.79999910669414e+002°)
1.03038612044162e+000	(3.36475034464761e+001dB,1.79999880394782e+002°)
1.03276140576140e+000	(3.36475034464618e+001dB,1.79999850119516e+002°)
1.03514216667934e+000	(3.36475034464453e+001dB,1.79999819843455e+002°)
1.03752841581801e+000	(3.36475034464263e+001dB,1.79999789566439e+002°)
1.03992016582906e+000	(3.36475034463527e+001dB,1.79999759288307e+002°)
1.04231742939330e+000	(3.36475034463291e+001dB,1.79999729008899e+002°)
1.04472021922080e+000	(3.36475034463031e+001dB,1.79999698728055e+002°)
1.04712854805090e+000	(3.36475034462748e+001dB,1.79999668445613e+002°)
1.04954242865232e+000	(3.36475034461917e+001dB,1.79999638161413e+002°)
1.05196187382322e+000	(3.36475034461587e+001dB,1.79999607875295e+002°)
1.05438689639126e+000	(3.36475034461234e+001dB,1.79999577587097e+002°)
1.05681750921366e+000	(3.36475034460857e+001dB,1.79999547296661e+002°)
1.05925372517729e+000	(3.36475034460456e+001dB,1.79999517003824e+002°)
