Freq.	V(n022)
1.00000000000000e+000	(1.15582182681461e+001dB,1.79991697144073e+002°)
1.00230523807790e+000	(1.15582182674823e+001dB,1.79991677993127e+002°)
1.00461579027840e+000	(1.15582182668151e+001dB,1.79991658798059e+002°)
1.00693166885180e+000	(1.15582182661423e+001dB,1.79991639558766e+002°)
1.00925288607668e+000	(1.15582182654687e+001dB,1.79991620275147e+002°)
1.01157945425990e+000	(1.15582182647953e+001dB,1.79991600947099e+002°)
1.01391138573668e+000	(1.15582182641183e+001dB,1.79991581574521e+002°)
1.01624869287070e+000	(1.15582182634391e+001dB,1.79991562157309e+002°)
1.01859138805412e+000	(1.15582182627491e+001dB,1.79991542695360e+002°)
1.02093948370768e+000	(1.15582182620593e+001dB,1.79991523188572e+002°)
1.02329299228075e+000	(1.15582182613641e+001dB,1.79991503636840e+002°)
1.02565192625141e+000	(1.15582182606710e+001dB,1.79991484040062e+002°)
1.02801629812647e+000	(1.15582182599778e+001dB,1.79991464398132e+002°)
1.03038612044162e+000	(1.15582182592745e+001dB,1.79991444710948e+002°)
1.03276140576140e+000	(1.15582182585747e+001dB,1.79991424978405e+002°)
1.03514216667934e+000	(1.15582182578597e+001dB,1.79991405200397e+002°)
1.03752841581801e+000	(1.15582182571496e+001dB,1.79991385376821e+002°)
1.03992016582906e+000	(1.15582182564378e+001dB,1.79991365507571e+002°)
1.04231742939330e+000	(1.15582182557206e+001dB,1.79991345592542e+002°)
1.04472021922080e+000	(1.15582182549994e+001dB,1.79991325631628e+002°)
1.04712854805090e+000	(1.15582182542760e+001dB,1.79991305624723e+002°)
1.04954242865232e+000	(1.15582182535506e+001dB,1.79991285571722e+002°)
1.05196187382322e+000	(1.15582182528124e+001dB,1.79991265472518e+002°)
1.05438689639126e+000	(1.15582182520786e+001dB,1.79991245327004e+002°)
1.05681750921366e+000	(1.15582182513439e+001dB,1.79991225135073e+002°)
1.05925372517729e+000	(1.15582182505994e+001dB,1.79991204896620e+002°)
1.06169555719872e+000	(1.15582182498578e+001dB,1.79991184611535e+002°)
1.06414301822431e+000	(1.15582182491143e+001dB,1.79991164279712e+002°)
1.06659612123026e+000	(1.15582182483628e+001dB,1.79991143901043e+002°)
1.06905487922266e+000	(1.15582182476050e+001dB,1.79991123475420e+002°)
1.07151930523761e+000	(1.15582182468502e+001dB,1.79991103002735e+002°)
1.07398941234124e+000	(1.15582182460877e+001dB,1.79991082482878e+002°)
1.07646521362983e+000	(1.15582182453156e+001dB,1.79991061915742e+002°)
1.07894672222983e+000	(1.15582182445468e+001dB,1.79991041301216e+002°)
1.08143395129794e+000	(1.15582182437755e+001dB,1.79991020639193e+002°)
1.08392691402120e+000	(1.15582182430006e+001dB,1.79990999929562e+002°)
1.08642562361706e+000	(1.15582182422206e+001dB,1.79990979172214e+002°)
1.08893009333343e+000	(1.15582182414385e+001dB,1.79990958367038e+002°)
1.09144033644876e+000	(1.15582182406495e+001dB,1.79990937513924e+002°)
1.09395636627209e+000	(1.15582182398606e+001dB,1.79990916612762e+002°)
1.09647819614318e+000	(1.15582182390630e+001dB,1.79990895663441e+002°)
1.09900583943252e+000	(1.15582182382732e+001dB,1.79990874665849e+002°)
1.10153930954141e+000	(1.15582182374688e+001dB,1.79990853619876e+002°)
1.10407861990207e+000	(1.15582182366592e+001dB,1.79990832525409e+002°)
1.10662378397766e+000	(1.15582182358560e+001dB,1.79990811382338e+002°)
1.10917481526240e+000	(1.15582182350382e+001dB,1.79990790190549e+002°)
1.11173172728159e+000	(1.15582182342240e+001dB,1.79990768949931e+002°)
1.11429453359173e+000	(1.15582182334105e+001dB,1.79990747660371e+002°)
1.11686324778056e+000	(1.15582182325821e+001dB,1.79990726321756e+002°)
1.11943788346715e+000	(1.15582182317563e+001dB,1.79990704933972e+002°)
1.12201845430196e+000	(1.15582182309251e+001dB,1.79990683496908e+002°)
1.12460497396692e+000	(1.15582182300919e+001dB,1.79990662010448e+002°)
1.12719745617551e+000	(1.15582182292460e+001dB,1.79990640474479e+002°)
1.12979591467280e+000	(1.15582182284073e+001dB,1.79990618888886e+002°)
1.13240036323556e+000	(1.15582182275554e+001dB,1.79990597253556e+002°)
1.13501081567231e+000	(1.15582182267072e+001dB,1.79990575568374e+002°)
1.13762728582343e+000	(1.15582182258522e+001dB,1.79990553833224e+002°)
1.14024978756117e+000	(1.15582182249990e+001dB,1.79990532047992e+002°)
1.14287833478977e+000	(1.15582182241302e+001dB,1.79990510212561e+002°)
1.14551294144553e+000	(1.15582182232632e+001dB,1.79990488326817e+002°)
1.14815362149688e+000	(1.15582182223919e+001dB,1.79990466390642e+002°)
1.15080038894443e+000	(1.15582182215195e+001dB,1.79990444403922e+002°)
1.15345325782109e+000	(1.15582182206390e+001dB,1.79990422366538e+002°)
1.15611224219210e+000	(1.15582182197520e+001dB,1.79990400278375e+002°)
1.15877735615512e+000	(1.15582182188673e+001dB,1.79990378139315e+002°)
1.16144861384034e+000	(1.15582182179724e+001dB,1.79990355949241e+002°)
1.16412602941049e+000	(1.15582182170804e+001dB,1.79990333708035e+002°)
1.16680961706096e+000	(1.15582182161800e+001dB,1.79990311415580e+002°)
1.16949939101987e+000	(1.15582182152748e+001dB,1.79990289071757e+002°)
1.17219536554813e+000	(1.15582182143688e+001dB,1.79990266676447e+002°)
1.17489755493953e+000	(1.15582182134621e+001dB,1.79990244229532e+002°)
1.17760597352080e+000	(1.15582182125482e+001dB,1.79990221730893e+002°)
1.18032063565173e+000	(1.15582182116209e+001dB,1.79990199180411e+002°)
1.18304155572516e+000	(1.15582182106983e+001dB,1.79990176577965e+002°)
1.18576874816716e+000	(1.15582182097715e+001dB,1.79990153923437e+002°)
1.18850222743702e+000	(1.15582182088367e+001dB,1.79990131216706e+002°)
1.19124200802737e+000	(1.15582182079006e+001dB,1.79990108457652e+002°)
1.19398810446427e+000	(1.15582182069564e+001dB,1.79990085646154e+002°)
1.19674053130724e+000	(1.15582182060038e+001dB,1.79990062782090e+002°)
1.19949930314938e+000	(1.15582182050664e+001dB,1.79990039865341e+002°)
1.20226443461741e+000	(1.15582182041096e+001dB,1.79990016895784e+002°)
1.20503594037179e+000	(1.15582182031502e+001dB,1.79989993873298e+002°)
1.20781383510678e+000	(1.15582182021847e+001dB,1.79989970797760e+002°)
1.21059813355048e+000	(1.15582182012150e+001dB,1.79989947669048e+002°)
1.21338885046497e+000	(1.15582182002410e+001dB,1.79989924487040e+002°)
1.21618600064636e+000	(1.15582181992691e+001dB,1.79989901251612e+002°)
