Freq.	Vn022
1.00000000000000e+000	9.46314711623941e+000	1.79997954737790e+002
1.00230523807790e+000	9.46314711624284e+000	1.79997950011465e+002
1.00461579027840e+000	9.46314711624761e+000	1.79997945274272e+002
1.00693166885180e+000	9.46314711624579e+000	1.79997940526185e+002
1.00925288607668e+000	9.46314711625167e+000	1.79997935767178e+002
1.01157945425990e+000	9.46314711625368e+000	1.79997930997228e+002
1.01391138573668e+000	9.46314711625899e+000	1.79997926216307e+002
1.01624869287070e+000	9.46314711626199e+000	1.79997921424392e+002
1.01859138805412e+000	9.46314711626603e+000	1.79997916621456e+002
1.02093948370768e+000	9.46314711626615e+000	1.79997911807474e+002
1.02329299228075e+000	9.46314711626827e+000	1.79997906982421e+002
1.02565192625141e+000	9.46314711627307e+000	1.79997902146271e+002
1.02801629812647e+000	9.46314711627701e+000	1.79997897298999e+002
1.03038612044162e+000	9.46314711628019e+000	1.79997892440578e+002
1.03276140576140e+000	9.46314711628391e+000	1.79997887570983e+002
1.03514216667934e+000	9.46314711628451e+000	1.79997882690188e+002
1.03752841581801e+000	9.46314711628790e+000	1.79997877798167e+002
1.03992016582906e+000	9.46314711629339e+000	1.79997872894895e+002
1.04231742939330e+000	9.46314711629626e+000	1.79997867980345e+002
1.04472021922080e+000	9.46314711629864e+000	1.79997863054491e+002
1.04712854805090e+000	9.46314711630286e+000	1.79997858117307e+002
1.04954242865232e+000	9.46314711630825e+000	1.79997853168767e+002
1.05196187382322e+000	9.46314711630647e+000	1.79997848208845e+002
1.05438689639126e+000	9.46314711631197e+000	1.79997843237515e+002
1.05681750921366e+000	9.46314711631422e+000	1.79997838254749e+002
1.05925372517729e+000	9.46314711631857e+000	1.79997833260522e+002
1.06169555719872e+000	9.46314711632254e+000	1.79997828254808e+002
1.06414301822431e+000	9.46314711632805e+000	1.79997823237578e+002
1.06659612123026e+000	9.46314711632883e+000	1.79997818208808e+002
1.06905487922266e+000	9.46314711633410e+000	1.79997813168471e+002
1.07151930523761e+000	9.46314711633688e+000	1.79997808116538e+002
1.07398941234124e+000	9.46314711634222e+000	1.79997803052985e+002
1.07646521362983e+000	9.46314711634187e+000	1.79997797977784e+002
1.07894672222983e+000	9.46314711634459e+000	1.79997792890908e+002
1.08143395129794e+000	9.46314711634820e+000	1.79997787792330e+002
1.08392691402120e+000	9.46314711635130e+000	1.79997782682023e+002
1.08642562361706e+000	9.46314711635655e+000	1.79997777559960e+002
1.08893009333343e+000	9.46314711635838e+000	1.79997772426114e+002
1.09144033644876e+000	9.46314711636307e+000	1.79997767280457e+002
1.09395636627209e+000	9.46314711636792e+000	1.79997762122963e+002
1.09647819614318e+000	9.46314711637140e+000	1.79997756953604e+002
1.09900583943252e+000	9.46314711637460e+000	1.79997751772353e+002
1.10153930954141e+000	9.46314711637880e+000	1.79997746579181e+002
1.10407861990207e+000	9.46314711638288e+000	1.79997741374062e+002
1.10662378397766e+000	9.46314711638730e+000	1.79997736156969e+002
1.10917481526240e+000	9.46314711638940e+000	1.79997730927872e+002
1.11173172728159e+000	9.46314711639340e+000	1.79997725686745e+002
1.11429453359173e+000	9.46314711639713e+000	1.79997720433560e+002
1.11686324778056e+000	9.46314711640120e+000	1.79997715168289e+002
1.11943788346715e+000	9.46314711640238e+000	1.79997709890904e+002
1.12201845430196e+000	9.46314711640809e+000	1.79997704601377e+002
1.12460497396692e+000	9.46314711641216e+000	1.79997699299680e+002
1.12719745617551e+000	9.46314711641735e+000	1.79997693985785e+002
1.12979591467280e+000	9.46314711641971e+000	1.79997688659664e+002
1.13240036323556e+000	9.46314711642220e+000	1.79997683321288e+002
1.13501081567231e+000	9.46314711642736e+000	1.79997677970629e+002
1.13762728582343e+000	9.46314711643105e+000	1.79997672607659e+002
1.14024978756117e+000	9.46314711643404e+000	1.79997667232350e+002
1.14287833478977e+000	9.46314711643831e+000	1.79997661844672e+002
1.14551294144553e+000	9.46314711644298e+000	1.79997656444598e+002
1.14815362149688e+000	9.46314711644647e+000	1.79997651032099e+002
1.15080038894443e+000	9.46314711644908e+000	1.79997645607145e+002
1.15345325782109e+000	9.46314711645168e+000	1.79997640169709e+002
1.15611224219210e+000	9.46314711645670e+000	1.79997634719761e+002
1.15877735615512e+000	9.46314711646150e+000	1.79997629257273e+002
1.16144861384034e+000	9.46314711646424e+000	1.79997623782215e+002
1.16412602941049e+000	9.46314711646743e+000	1.79997618294559e+002
1.16680961706096e+000	9.46314711647213e+000	1.79997612794275e+002
1.16949939101987e+000	9.46314711647541e+000	1.79997607281335e+002
1.17219536554813e+000	9.46314711647884e+000	1.79997601755709e+002
1.17489755493953e+000	9.46314711648582e+000	1.79997596217367e+002
1.17760597352080e+000	9.46314711649108e+000	1.79997590666281e+002
1.18032063565173e+000	9.46314711649429e+000	1.79997585102420e+002
1.18304155572516e+000	9.46314711649738e+000	1.79997579525756e+002
1.18576874816716e+000	9.46314711650147e+000	1.79997573936259e+002
1.18850222743702e+000	9.46314711650634e+000	1.79997568333899e+002
1.19124200802737e+000	9.46314711650775e+000	1.79997562718647e+002
1.19398810446427e+000	9.46314711651179e+000	1.79997557090473e+002
1.19674053130724e+000	9.46314711651683e+000	1.79997551449346e+002
1.19949930314938e+000	9.46314711652405e+000	1.79997545795238e+002
1.20226443461741e+000	9.46314711652632e+000	1.79997540128117e+002
1.20503594037179e+000	9.46314711653061e+000	1.79997534447955e+002
1.20781383510678e+000	9.46314711653496e+000	1.79997528754720e+002
1.21059813355048e+000	9.46314711653829e+000	1.79997523048384e+002
1.21338885046497e+000	9.46314711654291e+000	1.79997517328914e+002
1.21618600064636e+000	9.46314711654992e+000	1.79997511596282e+002
1.21898959892486e+000	9.46314711655250e+000	1.79997505850456e+002
1.22179966016487e+000	9.46314711655628e+000	1.79997500091407e+002
1.22461619926504e+000	9.46314711656088e+000	1.79997494319104e+002
1.22743923115840e+000	9.46314711656540e+000	1.79997488533515e+002
1.23026877081238e+000	9.46314711656836e+000	1.79997482734611e+002
1.23310483322890e+000	9.46314711657735e+000	1.79997476922361e+002
1.23594743344451e+000	9.46314711657999e+000	1.79997471096734e+002
1.23879658653036e+000	9.46314711658244e+000	1.79997465257698e+002
1.24165230759241e+000	9.46314711658694e+000	1.79997459405224e+002
1.24451461177138e+000	9.46314711659645e+000	1.79997453539280e+002
1.24738351424294e+000	9.46314711659702e+000	1.79997447659834e+002
1.25025903021771e+000	9.46314711660285e+000	1.79997441766857e+002
1.25314117494141e+000	9.46314711660654e+000	1.79997435860316e+002
1.25602996369487e+000	9.46314711661125e+000	1.79997429940180e+002
1.25892541179416e+000	9.46314711661681e+000	1.79997424006418e+002
1.26182753459066e+000	9.46314711662027e+000	1.79997418058998e+002
1.26473634747115e+000	9.46314711662539e+000	1.79997412097889e+002
1.26765186585784e+000	9.46314711663262e+000	1.79997406123059e+002
1.27057410520854e+000	9.46314711663558e+000	1.79997400134477e+002
1.27350308101666e+000	9.46314711664063e+000	1.79997394132110e+002
1.27643880881134e+000	9.46314711664329e+000	1.79997388115928e+002
1.27938130415752e+000	9.46314711665072e+000	1.79997382085897e+002
1.28233058265602e+000	9.46314711665560e+000	1.79997376041987e+002
1.28528665994361e+000	9.46314711665762e+000	1.79997369984165e+002
1.28824955169313e+000	9.46314711666640e+000	1.79997363912398e+002
1.29121927361353e+000	9.46314711666977e+000	1.79997357826655e+002
1.29419584144998e+000	9.46314711667235e+000	1.79997351726904e+002
1.29717927098395e+000	9.46314711668105e+000	1.79997345613112e+002
1.30016957803328e+000	9.46314711668511e+000	1.79997339485247e+002
1.30316677845229e+000	9.46314711668710e+000	1.79997333343275e+002
1.30617088813183e+000	9.46314711669720e+000	1.79997327187166e+002
1.30918192299940e+000	9.46314711669942e+000	1.79997321016885e+002
1.31219989901920e+000	9.46314711670357e+000	1.79997314832401e+002
1.31522483219223e+000	9.46314711671085e+000	1.79997308633680e+002
1.31825673855640e+000	9.46314711671391e+000	1.79997302420690e+002
1.32129563418657e+000	9.46314711671750e+000	1.79997296193398e+002
1.32434153519466e+000	9.46314711672576e+000	1.79997289951770e+002
1.32739445772973e+000	9.46314711672936e+000	1.79997283695774e+002
