rl	V(vo)
1.000000000000000e-006	1.897999e-007
2.000010000000000e-001	3.884143e-002
4.000010000000001e-001	7.952897e-002
6.000010000000000e-001	1.221976e-001
8.000010000000000e-001	1.669957e-001
1.000001000000000e+000	2.140868e-001
1.200001000000000e+000	2.636514e-001
1.400001000000000e+000	3.158897e-001
1.600001000000000e+000	3.710242e-001
1.800001000000000e+000	4.293023e-001
2.000001000000000e+000	4.910010e-001
2.200001000000000e+000	5.564304e-001
2.400001000000000e+000	6.259394e-001
2.600001000000000e+000	6.999220e-001
2.800001000000000e+000	7.788242e-001
3.000001000000001e+000	8.631536e-001
3.200001000000001e+000	9.534901e-001
3.400001000000001e+000	1.050499e+000
3.600001000000001e+000	1.154948e+000
3.800001000000001e+000	1.267728e+000
4.000001000000001e+000	1.389875e+000
4.200001000000001e+000	1.522609e+000
4.400001000000001e+000	1.667366e+000
4.600001000000002e+000	1.825858e+000
4.800001000000002e+000	2.000137e+000
5.000001000000002e+000	2.192685e+000
5.200001000000002e+000	2.406533e+000
5.400001000000002e+000	2.645422e+000
5.600001000000002e+000	2.914021e+000
5.800001000000003e+000	3.218240e+000
6.000001000000003e+000	3.565665e+000
6.200001000000003e+000	3.966195e+000
6.400001000000003e+000	4.432689e+000
6.600001000000003e+000	4.953434e+000
6.800001000000004e+000	5.065837e+000
7.000001000000004e+000	5.068185e+000
7.200001000000004e+000	5.070400e+000
7.400001000000004e+000	5.072493e+000
7.600001000000004e+000	5.074472e+000
7.800001000000004e+000	5.076348e+000
8.000001000000005e+000	5.078128e+000
8.200001000000004e+000	5.079819e+000
8.400001000000003e+000	5.081429e+000
8.600001000000002e+000	5.082962e+000
8.800001000000002e+000	5.084424e+000
9.000001000000001e+000	5.085820e+000
9.200001000000000e+000	5.087154e+000
9.400001000000000e+000	5.088431e+000
9.600000999999999e+000	5.089653e+000
9.800000999999998e+000	5.090826e+000
1.000000100000000e+001	5.091950e+000
1.020000100000000e+001	5.093030e+000
1.040000100000000e+001	5.094068e+000
1.060000100000000e+001	5.095067e+000
1.080000100000000e+001	5.096027e+000
1.100000099999999e+001	5.096953e+000
1.120000099999999e+001	5.097845e+000
1.140000099999999e+001	5.098705e+000
1.160000099999999e+001	5.099536e+000
1.180000099999999e+001	5.100338e+000
1.200000000000000e+001	5.101113e+000
