vreg1	V(vo)
4.000000000000000e+000	3.079630e+000
4.020000000000000e+000	3.097566e+000
4.039999999999999e+000	3.115398e+000
4.059999999999999e+000	3.133097e+000
4.079999999999998e+000	3.150630e+000
4.099999999999998e+000	3.167956e+000
4.119999999999997e+000	3.185020e+000
4.139999999999997e+000	3.201754e+000
4.159999999999997e+000	3.218070e+000
4.179999999999996e+000	3.233849e+000
4.199999999999996e+000	3.248927e+000
4.219999999999995e+000	3.263070e+000
4.239999999999995e+000	3.275952e+000
4.259999999999995e+000	3.287148e+000
4.279999999999994e+000	3.296207e+000
4.299999999999994e+000	3.302873e+000
4.319999999999993e+000	3.307312e+000
4.339999999999993e+000	3.310036e+000
4.359999999999992e+000	3.311621e+000
4.379999999999992e+000	3.312522e+000
4.399999999999992e+000	3.313037e+000
4.419999999999991e+000	3.313343e+000
4.439999999999991e+000	3.313538e+000
4.459999999999990e+000	3.313673e+000
4.479999999999990e+000	3.313776e+000
4.499999999999989e+000	3.313863e+000
4.519999999999989e+000	3.313941e+000
4.539999999999989e+000	3.314013e+000
4.559999999999988e+000	3.314083e+000
4.579999999999988e+000	3.314151e+000
4.599999999999987e+000	3.314219e+000
4.619999999999987e+000	3.314285e+000
4.639999999999986e+000	3.314352e+000
4.659999999999986e+000	3.314418e+000
4.679999999999986e+000	3.314484e+000
4.699999999999985e+000	3.314550e+000
4.719999999999985e+000	3.314615e+000
4.739999999999984e+000	3.314681e+000
4.759999999999984e+000	3.314746e+000
4.779999999999983e+000	3.314811e+000
4.799999999999983e+000	3.314877e+000
4.819999999999983e+000	3.314942e+000
4.839999999999982e+000	3.315006e+000
4.859999999999982e+000	3.315071e+000
4.879999999999981e+000	3.315136e+000
4.899999999999981e+000	3.315200e+000
4.919999999999980e+000	3.315265e+000
4.939999999999980e+000	3.315329e+000
4.959999999999980e+000	3.315393e+000
4.979999999999979e+000	3.315457e+000
4.999999999999979e+000	3.315521e+000
5.019999999999978e+000	3.315585e+000
5.039999999999978e+000	3.315648e+000
5.059999999999977e+000	3.315712e+000
5.079999999999977e+000	3.315775e+000
5.099999999999977e+000	3.315839e+000
5.119999999999976e+000	3.315902e+000
5.139999999999976e+000	3.315965e+000
5.159999999999975e+000	3.316028e+000
5.179999999999975e+000	3.316091e+000
5.199999999999974e+000	3.316154e+000
5.219999999999974e+000	3.316217e+000
5.239999999999974e+000	3.316280e+000
5.259999999999973e+000	3.316342e+000
5.279999999999973e+000	3.316405e+000
5.299999999999972e+000	3.316467e+000
5.319999999999972e+000	3.316529e+000
5.339999999999971e+000	3.316592e+000
5.359999999999971e+000	3.316654e+000
5.379999999999971e+000	3.316716e+000
5.399999999999970e+000	3.316778e+000
5.419999999999970e+000	3.316839e+000
5.439999999999969e+000	3.316901e+000
5.459999999999969e+000	3.316963e+000
5.479999999999969e+000	3.317024e+000
5.499999999999968e+000	3.317086e+000
5.519999999999968e+000	3.317147e+000
5.539999999999967e+000	3.317209e+000
5.559999999999967e+000	3.317270e+000
5.579999999999966e+000	3.317331e+000
5.599999999999966e+000	3.317392e+000
5.619999999999966e+000	3.317453e+000
5.639999999999965e+000	3.317514e+000
5.659999999999965e+000	3.317575e+000
5.679999999999964e+000	3.317636e+000
5.699999999999964e+000	3.317697e+000
5.719999999999963e+000	3.317758e+000
5.739999999999963e+000	3.317818e+000
5.759999999999963e+000	3.317879e+000
5.779999999999962e+000	3.317939e+000
5.799999999999962e+000	3.317999e+000
5.819999999999961e+000	3.318060e+000
5.839999999999961e+000	3.318120e+000
5.859999999999960e+000	3.318180e+000
5.879999999999960e+000	3.318240e+000
5.899999999999960e+000	3.318300e+000
5.919999999999959e+000	3.318360e+000
5.939999999999959e+000	3.318420e+000
5.959999999999958e+000	3.318480e+000
5.979999999999958e+000	3.318540e+000
5.999999999999957e+000	3.318599e+000
6.019999999999957e+000	3.318659e+000
6.039999999999957e+000	3.318719e+000
6.059999999999956e+000	3.318778e+000
6.079999999999956e+000	3.318838e+000
6.099999999999955e+000	3.318897e+000
6.119999999999955e+000	3.318957e+000
6.139999999999954e+000	3.319016e+000
6.159999999999954e+000	3.319075e+000
6.179999999999954e+000	3.319134e+000
6.199999999999953e+000	3.319193e+000
6.219999999999953e+000	3.319252e+000
6.239999999999952e+000	3.319311e+000
6.259999999999952e+000	3.319371e+000
6.279999999999951e+000	3.319429e+000
6.299999999999951e+000	3.319488e+000
6.319999999999951e+000	3.319547e+000
6.339999999999950e+000	3.319606e+000
6.359999999999950e+000	3.319664e+000
6.379999999999949e+000	3.319723e+000
6.399999999999949e+000	3.319782e+000
6.419999999999948e+000	3.319840e+000
6.439999999999948e+000	3.319899e+000
6.459999999999948e+000	3.319957e+000
6.479999999999947e+000	3.320015e+000
6.499999999999947e+000	3.320074e+000
6.519999999999946e+000	3.320132e+000
6.539999999999946e+000	3.320190e+000
6.559999999999945e+000	3.320248e+000
6.579999999999945e+000	3.320307e+000
6.599999999999945e+000	3.320365e+000
6.619999999999944e+000	3.320423e+000
6.639999999999944e+000	3.320481e+000
6.659999999999943e+000	3.320539e+000
6.679999999999943e+000	3.320597e+000
6.699999999999942e+000	3.320654e+000
6.719999999999942e+000	3.320712e+000
6.739999999999942e+000	3.320770e+000
6.759999999999941e+000	3.320828e+000
6.779999999999941e+000	3.320885e+000
