Freq.	V(vf)
1.00000000000000e+000	(5.13775053862867e+001dB,-1.79991820271906e+002°)
1.00230523807790e+000	(5.13775053868943e+001dB,-1.79991848121583e+002°)
1.00461579027840e+000	(5.13775053874991e+001dB,-1.79991875928039e+002°)
1.00693166885180e+000	(5.13775053881008e+001dB,-1.79991903691422e+002°)
1.00925288607668e+000	(5.13775053886996e+001dB,-1.79991931411880e+002°)
1.01157945425990e+000	(5.13775053892954e+001dB,-1.79991959089558e+002°)
1.01391138573668e+000	(5.13775053898887e+001dB,-1.79991986724605e+002°)
1.01624869287070e+000	(5.13775053904788e+001dB,-1.79992014317165e+002°)
1.01859138805412e+000	(5.13775053910662e+001dB,-1.79992041867387e+002°)
1.02093948370768e+000	(5.13775053916508e+001dB,-1.79992069375415e+002°)
1.02329299228075e+000	(5.13775053922325e+001dB,-1.79992096841396e+002°)
1.02565192625141e+000	(5.13775053928113e+001dB,-1.79992124265475e+002°)
1.02801629812647e+000	(5.13775053933875e+001dB,-1.79992151647798e+002°)
1.03038612044162e+000	(5.13775053939609e+001dB,-1.79992178988510e+002°)
1.03276140576140e+000	(5.13775053945316e+001dB,-1.79992206287755e+002°)
1.03514216667934e+000	(5.13775053950992e+001dB,-1.79992233545679e+002°)
1.03752841581801e+000	(5.13775053956643e+001dB,-1.79992260762426e+002°)
1.03992016582906e+000	(5.13775053962268e+001dB,-1.79992287938141e+002°)
1.04231742939330e+000	(5.13775053967864e+001dB,-1.79992315072966e+002°)
1.04472021922080e+000	(5.13775053973433e+001dB,-1.79992342167048e+002°)
1.04712854805090e+000	(5.13775053978977e+001dB,-1.79992369220527e+002°)
1.04954242865232e+000	(5.13775053984492e+001dB,-1.79992396233550e+002°)
1.05196187382322e+000	(5.13775053989980e+001dB,-1.79992423206258e+002°)
1.05438689639126e+000	(5.13775053995440e+001dB,-1.79992450138794e+002°)
1.05681750921366e+000	(5.13775054000877e+001dB,-1.79992477031302e+002°)
1.05925372517729e+000	(5.13775054006287e+001dB,-1.79992503883924e+002°)
1.06169555719872e+000	(5.13775054011670e+001dB,-1.79992530696802e+002°)
1.06414301822431e+000	(5.13775054017024e+001dB,-1.79992557470079e+002°)
1.06659612123026e+000	(5.13775054022357e+001dB,-1.79992584203896e+002°)
1.06905487922266e+000	(5.13775054027661e+001dB,-1.79992610898396e+002°)
1.07151930523761e+000	(5.13775054032940e+001dB,-1.79992637553719e+002°)
1.07398941234124e+000	(5.13775054038194e+001dB,-1.79992664170007e+002°)
1.07646521362983e+000	(5.13775054043421e+001dB,-1.79992690747401e+002°)
1.07894672222983e+000	(5.13775054048621e+001dB,-1.79992717286043e+002°)
1.08143395129794e+000	(5.13775054053798e+001dB,-1.79992743786072e+002°)
1.08392691402120e+000	(5.13775054058949e+001dB,-1.79992770247629e+002°)
1.08642562361706e+000	(5.13775054064075e+001dB,-1.79992796670855e+002°)
1.08893009333343e+000	(5.13775054069177e+001dB,-1.79992823055890e+002°)
1.09144033644876e+000	(5.13775054074253e+001dB,-1.79992849402873e+002°)
1.09395636627209e+000	(5.13775054079305e+001dB,-1.79992875711945e+002°)
1.09647819614318e+000	(5.13775054084332e+001dB,-1.79992901983244e+002°)
1.09900583943252e+000	(5.13775054089335e+001dB,-1.79992928216910e+002°)
1.10153930954141e+000	(5.13775054094311e+001dB,-1.79992954413083e+002°)
1.10407861990207e+000	(5.13775054099265e+001dB,-1.79992980571900e+002°)
1.10662378397766e+000	(5.13775054104192e+001dB,-1.79993006693501e+002°)
1.10917481526240e+000	(5.13775054109097e+001dB,-1.79993032778024e+002°)
1.11173172728159e+000	(5.13775054113978e+001dB,-1.79993058825608e+002°)
1.11429453359173e+000	(5.13775054118832e+001dB,-1.79993084836390e+002°)
1.11686324778056e+000	(5.13775054123666e+001dB,-1.79993110810509e+002°)
1.11943788346715e+000	(5.13775054128475e+001dB,-1.79993136748102e+002°)
1.12201845430196e+000	(5.13775054133260e+001dB,-1.79993162649307e+002°)
1.12460497396692e+000	(5.13775054138022e+001dB,-1.79993188514261e+002°)
1.12719745617551e+000	(5.13775054142758e+001dB,-1.79993214343101e+002°)
1.12979591467280e+000	(5.13775054147473e+001dB,-1.79993240135964e+002°)
1.13240036323556e+000	(5.13775054152164e+001dB,-1.79993265892987e+002°)
1.13501081567231e+000	(5.13775054156833e+001dB,-1.79993291614307e+002°)
1.13762728582343e+000	(5.13775054161477e+001dB,-1.79993317300059e+002°)
1.14024978756117e+000	(5.13775054166100e+001dB,-1.79993342950380e+002°)
1.14287833478977e+000	(5.13775054170700e+001dB,-1.79993368565406e+002°)
1.14551294144553e+000	(5.13775054175276e+001dB,-1.79993394145273e+002°)
1.14815362149688e+000	(5.13775054179828e+001dB,-1.79993419690117e+002°)
1.15080038894443e+000	(5.13775054184358e+001dB,-1.79993445200072e+002°)
1.15345325782109e+000	(5.13775054188867e+001dB,-1.79993470675274e+002°)
1.15611224219210e+000	(5.13775054193354e+001dB,-1.79993496115859e+002°)
1.15877735615512e+000	(5.13775054197817e+001dB,-1.79993521521961e+002°)
1.16144861384034e+000	(5.13775054202258e+001dB,-1.79993546893714e+002°)
1.16412602941049e+000	(5.13775054206677e+001dB,-1.79993572231254e+002°)
1.16680961706096e+000	(5.13775054211076e+001dB,-1.79993597534714e+002°)
1.16949939101987e+000	(5.13775054215451e+001dB,-1.79993622804229e+002°)
1.17219536554813e+000	(5.13775054219805e+001dB,-1.79993648039933e+002°)
1.17489755493953e+000	(5.13775054224135e+001dB,-1.79993673241959e+002°)
1.17760597352080e+000	(5.13775054228445e+001dB,-1.79993698410442e+002°)
1.18032063565173e+000	(5.13775054232734e+001dB,-1.79993723545514e+002°)
1.18304155572516e+000	(5.13775054237002e+001dB,-1.79993748647309e+002°)
1.18576874816716e+000	(5.13775054241246e+001dB,-1.79993773715960e+002°)
1.18850222743702e+000	(5.13775054245472e+001dB,-1.79993798751599e+002°)
1.19124200802737e+000	(5.13775054249674e+001dB,-1.79993823754361e+002°)
1.19398810446427e+000	(5.13775054253858e+001dB,-1.79993848724376e+002°)
1.19674053130724e+000	(5.13775054258017e+001dB,-1.79993873661779e+002°)
1.19949930314938e+000	(5.13775054262157e+001dB,-1.79993898566699e+002°)
1.20226443461741e+000	(5.13775054266277e+001dB,-1.79993923439271e+002°)
1.20503594037179e+000	(5.13775054270375e+001dB,-1.79993948279625e+002°)
1.20781383510678e+000	(5.13775054274453e+001dB,-1.79993973087894e+002°)
1.21059813355048e+000	(5.13775054278511e+001dB,-1.79993997864209e+002°)
1.21338885046497e+000	(5.13775054282546e+001dB,-1.79994022608701e+002°)
1.21618600064636e+000	(5.13775054286563e+001dB,-1.79994047321501e+002°)
1.21898959892486e+000	(5.13775054290558e+001dB,-1.79994072002741e+002°)
1.22179966016487e+000	(5.13775054294533e+001dB,-1.79994096652551e+002°)
1.22461619926504e+000	(5.13775054298490e+001dB,-1.79994121271063e+002°)
1.22743923115840e+000	(5.13775054302423e+001dB,-1.79994145858405e+002°)
1.23026877081238e+000	(5.13775054306339e+001dB,-1.79994170414710e+002°)
1.23310483322890e+000	(5.13775054310235e+001dB,-1.79994194940107e+002°)
1.23594743344451e+000	(5.13775054314109e+001dB,-1.79994219434726e+002°)
1.23879658653036e+000	(5.13775054317966e+001dB,-1.79994243898697e+002°)
1.24165230759241e+000	(5.13775054321802e+001dB,-1.79994268332150e+002°)
1.24451461177138e+000	(5.13775054325618e+001dB,-1.79994292735214e+002°)
1.24738351424294e+000	(5.13775054329416e+001dB,-1.79994317108019e+002°)
1.25025903021771e+000	(5.13775054333193e+001dB,-1.79994341450694e+002°)
1.25314117494141e+000	(5.13775054336951e+001dB,-1.79994365763367e+002°)
1.25602996369487e+000	(5.13775054340690e+001dB,-1.79994390046168e+002°)
1.25892541179416e+000	(5.13775054344410e+001dB,-1.79994414299226e+002°)
1.26182753459066e+000	(5.13775054348112e+001dB,-1.79994438522670e+002°)
1.26473634747115e+000	(5.13775054351792e+001dB,-1.79994462716626e+002°)
1.26765186585784e+000	(5.13775054355455e+001dB,-1.79994486881225e+002°)
1.27057410520854e+000	(5.13775054359099e+001dB,-1.79994511016594e+002°)
1.27350308101666e+000	(5.13775054362724e+001dB,-1.79994535122860e+002°)
1.27643880881134e+000	(5.13775054366331e+001dB,-1.79994559200152e+002°)
