Freq.	Vvf
1.00000000000000e+000	2.68833105077529e+001	-1.79993738138647e+002
1.00230523807790e+000	2.68833105080146e+001	-1.79993755356080e+002
1.00461579027840e+000	2.68833105082751e+001	-1.79993772540404e+002
1.00693166885180e+000	2.68833105085344e+001	-1.79993789691710e+002
1.00925288607668e+000	2.68833105087925e+001	-1.79993806810090e+002
1.01157945425990e+000	2.68833105090494e+001	-1.79993823895635e+002
1.01391138573668e+000	2.68833105093051e+001	-1.79993840948434e+002
1.01624869287070e+000	2.68833105095597e+001	-1.79993857968579e+002
1.01859138805412e+000	2.68833105098131e+001	-1.79993874956159e+002
1.02093948370768e+000	2.68833105100653e+001	-1.79993891911265e+002
1.02329299228075e+000	2.68833105103163e+001	-1.79993908833986e+002
1.02565192625141e+000	2.68833105105662e+001	-1.79993925724413e+002
1.02801629812647e+000	2.68833105108149e+001	-1.79993942582634e+002
1.03038612044162e+000	2.68833105110625e+001	-1.79993959408740e+002
1.03276140576140e+000	2.68833105113089e+001	-1.79993976202819e+002
1.03514216667934e+000	2.68833105115542e+001	-1.79993992964960e+002
1.03752841581801e+000	2.68833105117984e+001	-1.79994009695253e+002
1.03992016582906e+000	2.68833105120414e+001	-1.79994026393786e+002
1.04231742939330e+000	2.68833105122834e+001	-1.79994043060647e+002
1.04472021922080e+000	2.68833105125242e+001	-1.79994059695925e+002
1.04712854805090e+000	2.68833105127639e+001	-1.79994076299709e+002
1.04954242865232e+000	2.68833105130024e+001	-1.79994092872085e+002
1.05196187382322e+000	2.68833105132399e+001	-1.79994109413142e+002
1.05438689639126e+000	2.68833105134763e+001	-1.79994125922969e+002
1.05681750921366e+000	2.68833105137116e+001	-1.79994142401651e+002
1.05925372517729e+000	2.68833105139458e+001	-1.79994158849277e+002
1.06169555719872e+000	2.68833105141789e+001	-1.79994175265934e+002
1.06414301822431e+000	2.68833105144110e+001	-1.79994191651708e+002
1.06659612123026e+000	2.68833105146420e+001	-1.79994208006687e+002
1.06905487922266e+000	2.68833105148719e+001	-1.79994224330958e+002
1.07151930523761e+000	2.68833105151007e+001	-1.79994240624607e+002
1.07398941234124e+000	2.68833105153285e+001	-1.79994256887720e+002
1.07646521362983e+000	2.68833105155553e+001	-1.79994273120384e+002
1.07894672222983e+000	2.68833105157809e+001	-1.79994289322684e+002
1.08143395129794e+000	2.68833105160056e+001	-1.79994305494707e+002
1.08392691402120e+000	2.68833105162292e+001	-1.79994321636538e+002
1.08642562361706e+000	2.68833105164518e+001	-1.79994337748263e+002
1.08893009333343e+000	2.68833105166733e+001	-1.79994353829967e+002
1.09144033644876e+000	2.68833105168938e+001	-1.79994369881736e+002
1.09395636627209e+000	2.68833105171133e+001	-1.79994385903655e+002
1.09647819614318e+000	2.68833105173318e+001	-1.79994401895808e+002
1.09900583943252e+000	2.68833105175493e+001	-1.79994417858281e+002
1.10153930954141e+000	2.68833105177658e+001	-1.79994433791157e+002
1.10407861990207e+000	2.68833105179813e+001	-1.79994449694522e+002
1.10662378397766e+000	2.68833105181958e+001	-1.79994465568461e+002
1.10917481526240e+000	2.68833105184093e+001	-1.79994481413056e+002
1.11173172728159e+000	2.68833105186218e+001	-1.79994497228392e+002
1.11429453359173e+000	2.68833105188333e+001	-1.79994513014552e+002
1.11686324778056e+000	2.68833105190438e+001	-1.79994528771622e+002
1.11943788346715e+000	2.68833105192534e+001	-1.79994544499683e+002
1.12201845430196e+000	2.68833105194620e+001	-1.79994560198820e+002
1.12460497396692e+000	2.68833105196696e+001	-1.79994575869116e+002
1.12719745617551e+000	2.68833105198763e+001	-1.79994591510654e+002
1.12979591467280e+000	2.68833105200820e+001	-1.79994607123516e+002
1.13240036323556e+000	2.68833105202868e+001	-1.79994622707786e+002
1.13501081567231e+000	2.68833105204906e+001	-1.79994638263545e+002
1.13762728582343e+000	2.68833105206935e+001	-1.79994653790878e+002
1.14024978756117e+000	2.68833105208954e+001	-1.79994669289865e+002
1.14287833478977e+000	2.68833105210964e+001	-1.79994684760590e+002
1.14551294144553e+000	2.68833105212965e+001	-1.79994700203134e+002
1.14815362149688e+000	2.68833105214956e+001	-1.79994715617578e+002
1.15080038894443e+000	2.68833105216939e+001	-1.79994731004006e+002
1.15345325782109e+000	2.68833105218912e+001	-1.79994746362497e+002
1.15611224219210e+000	2.68833105220875e+001	-1.79994761693135e+002
1.15877735615512e+000	2.68833105222830e+001	-1.79994776995999e+002
1.16144861384034e+000	2.68833105224776e+001	-1.79994792271172e+002
1.16412602941049e+000	2.68833105226713e+001	-1.79994807518734e+002
1.16680961706096e+000	2.68833105228641e+001	-1.79994822738765e+002
1.16949939101987e+000	2.68833105230560e+001	-1.79994837931348e+002
1.17219536554813e+000	2.68833105232470e+001	-1.79994853096561e+002
1.17489755493953e+000	2.68833105234371e+001	-1.79994868234487e+002
1.17760597352080e+000	2.68833105236263e+001	-1.79994883345204e+002
1.18032063565173e+000	2.68833105238147e+001	-1.79994898428793e+002
1.18304155572516e+000	2.68833105240022e+001	-1.79994913485334e+002
1.18576874816716e+000	2.68833105241888e+001	-1.79994928514907e+002
1.18850222743702e+000	2.68833105243746e+001	-1.79994943517591e+002
1.19124200802737e+000	2.68833105245594e+001	-1.79994958493467e+002
1.19398810446427e+000	2.68833105247435e+001	-1.79994973442613e+002
1.19674053130724e+000	2.68833105249267e+001	-1.79994988365108e+002
1.19949930314938e+000	2.68833105251090e+001	-1.79995003261033e+002
1.20226443461741e+000	2.68833105252905e+001	-1.79995018130465e+002
1.20503594037179e+000	2.68833105254711e+001	-1.79995032973484e+002
1.20781383510678e+000	2.68833105256510e+001	-1.79995047790168e+002
1.21059813355048e+000	2.68833105258299e+001	-1.79995062580596e+002
1.21338885046497e+000	2.68833105260081e+001	-1.79995077344846e+002
1.21618600064636e+000	2.68833105261854e+001	-1.79995092082997e+002
1.21898959892486e+000	2.68833105263619e+001	-1.79995106795127e+002
1.22179966016487e+000	2.68833105265376e+001	-1.79995121481313e+002
1.22461619926504e+000	2.68833105267125e+001	-1.79995136141634e+002
1.22743923115840e+000	2.68833105268865e+001	-1.79995150776167e+002
1.23026877081238e+000	2.68833105270598e+001	-1.79995165384990e+002
1.23310483322890e+000	2.68833105272322e+001	-1.79995179968181e+002
1.23594743344451e+000	2.68833105274039e+001	-1.79995194525816e+002
1.23879658653036e+000	2.68833105275748e+001	-1.79995209057973e+002
1.24165230759241e+000	2.68833105277448e+001	-1.79995223564729e+002
1.24451461177138e+000	2.68833105279141e+001	-1.79995238046161e+002
1.24738351424294e+000	2.68833105280826e+001	-1.79995252502345e+002
1.25025903021771e+000	2.68833105282503e+001	-1.79995266933359e+002
1.25314117494141e+000	2.68833105284172e+001	-1.79995281339278e+002
1.25602996369487e+000	2.68833105285833e+001	-1.79995295720179e+002
1.25892541179416e+000	2.68833105287487e+001	-1.79995310076139e+002
1.26182753459066e+000	2.68833105289133e+001	-1.79995324407233e+002
1.26473634747115e+000	2.68833105290772e+001	-1.79995338713538e+002
1.26765186585784e+000	2.68833105292403e+001	-1.79995352995129e+002
1.27057410520854e+000	2.68833105294026e+001	-1.79995367252082e+002
1.27350308101666e+000	2.68833105295642e+001	-1.79995381484473e+002
1.27643880881134e+000	2.68833105297250e+001	-1.79995395692377e+002
1.27938130415752e+000	2.68833105298851e+001	-1.79995409875869e+002
1.28233058265602e+000	2.68833105300444e+001	-1.79995424035025e+002
1.28528665994361e+000	2.68833105302030e+001	-1.79995438169920e+002
1.28824955169313e+000	2.68833105303609e+001	-1.79995452280628e+002
1.29121927361353e+000	2.68833105305180e+001	-1.79995466367225e+002
1.29419584144998e+000	2.68833105306744e+001	-1.79995480429784e+002
1.29717927098395e+000	2.68833105308048e+001	-1.79995494468382e+002
1.30016957803328e+000	2.68833105309598e+001	-1.79995508483092e+002
1.30316677845229e+000	2.68833105311140e+001	-1.79995522473988e+002
1.30617088813183e+000	2.68833105312675e+001	-1.79995536441144e+002
1.30918192299940e+000	2.68833105314203e+001	-1.79995550384635e+002
1.31219989901920e+000	2.68833105315661e+001	-1.79995564304535e+002
1.31522483219223e+000	2.68833105317174e+001	-1.79995578200918e+002
1.31825673855640e+000	2.68833105318681e+001	-1.79995592073856e+002
1.32129563418657e+000	2.68833105320181e+001	-1.79995605923424e+002
1.32434153519466e+000	2.68833105321673e+001	-1.79995619749695e+002
1.32739445772973e+000	2.68833105323159e+001	-1.79995633552742e+002
1.33045441797808e+000	2.68833105324638e+001	-1.79995647332639e+002
1.33352143216332e+000	2.68833105326110e+001	-1.79995661089459e+002
1.33659551654643e+000	2.68833105327575e+001	-1.79995674823274e+002
1.33967668742593e+000	2.68833105329033e+001	-1.79995688534157e+002
1.34276496113786e+000	2.68833105330485e+001	-1.79995702222181e+002
1.34586035405594e+000	2.68833105331930e+001	-1.79995715887419e+002
1.34896288259164e+000	2.68833105333368e+001	-1.79995729529943e+002
1.35207256319427e+000	2.68833105334799e+001	-1.79995743149826e+002
1.35518941235103e+000	2.68833105336224e+001	-1.79995756747139e+002
1.35831344658715e+000	2.68833105337642e+001	-1.79995770321954e+002
1.36144468246594e+000	2.68833105339053e+001	-1.79995783874345e+002
1.36458313658892e+000	2.68833105340458e+001	-1.79995797404382e+002
1.36772882559584e+000	2.68833105341856e+001	-1.79995810912137e+002
1.37088176616484e+000	2.68833105343248e+001	-1.79995824397682e+002
1.37404197501251e+000	2.68833105344633e+001	-1.79995837861088e+002
1.37720946889394e+000	2.68833105346012e+001	-1.79995851302428e+002
1.38038426460288e+000	2.68833105347385e+001	-1.79995864721771e+002
1.38356637897177e+000	2.68833105348751e+001	-1.79995878119189e+002
1.38675582887188e+000	2.68833105350110e+001	-1.79995891494754e+002
1.38995263121334e+000	2.68833105351463e+001	-1.79995904848535e+002
1.39315680294529e+000	2.68833105352810e+001	-1.79995918180605e+002
1.39636836105593e+000	2.68833105354151e+001	-1.79995931491033e+002
1.39958732257261e+000	2.68833105355485e+001	-1.79995944779891e+002
1.40281370456195e+000	2.68833105356814e+001	-1.79995958047248e+002
1.40604752412990e+000	2.68833105358136e+001	-1.79995971293174e+002
