Freq.	Vvf
1.00000000000000e+000	5.33301151091483e+001	1.79991535211726e+002
1.00230523807790e+000	5.33301151087335e+001	1.79991485323179e+002
1.00461579027840e+000	5.33301151083144e+001	1.79991435389488e+002
1.00693166885180e+000	5.33301151078909e+001	1.79991385410389e+002
1.00925288607668e+000	5.33301151074632e+001	1.79991335385616e+002
1.01157945425990e+000	5.33301151070312e+001	1.79991285314903e+002
1.01391138573668e+000	5.33301151065946e+001	1.79991235197987e+002
1.01624869287070e+000	5.33301151061535e+001	1.79991185034600e+002
1.01859138805412e+000	5.33301151057085e+001	1.79991134824478e+002
1.02093948370768e+000	5.33301151052587e+001	1.79991084567353e+002
1.02329299228075e+000	5.33301151048047e+001	1.79991034262959e+002
1.02565192625141e+000	5.33301151043462e+001	1.79990983911030e+002
1.02801629812647e+000	5.33301151038831e+001	1.79990933511299e+002
1.03038612044162e+000	5.33301151034158e+001	1.79990883063498e+002
1.03276140576140e+000	5.33301151029437e+001	1.79990832567359e+002
1.03514216667934e+000	5.33301151024676e+001	1.79990782022616e+002
1.03752841581801e+000	5.33301151019869e+001	1.79990731429001e+002
1.03992016582906e+000	5.33301151015017e+001	1.79990680786244e+002
1.04231742939330e+000	5.33301151010118e+001	1.79990630094077e+002
1.04472021922080e+000	5.33301151005177e+001	1.79990579352233e+002
1.04712854805090e+000	5.33301151000190e+001	1.79990528560441e+002
1.04954242865232e+000	5.33301150995155e+001	1.79990477718432e+002
1.05196187382322e+000	5.33301150990080e+001	1.79990426825937e+002
1.05438689639126e+000	5.33301150984957e+001	1.79990375882686e+002
1.05681750921366e+000	5.33301150979788e+001	1.79990324888410e+002
1.05925372517729e+000	5.33301150974572e+001	1.79990273842836e+002
1.06169555719872e+000	5.33301150969312e+001	1.79990222745696e+002
1.06414301822431e+000	5.33301150964005e+001	1.79990171596717e+002
1.06659612123026e+000	5.33301150958654e+001	1.79990120395629e+002
1.06905487922266e+000	5.33301150953257e+001	1.79990069142161e+002
1.07151930523761e+000	5.33301150947812e+001	1.79990017836040e+002
1.07398941234124e+000	5.33301150942321e+001	1.79989966476995e+002
1.07646521362983e+000	5.33301150936785e+001	1.79989915064753e+002
1.07894672222983e+000	5.33301150931201e+001	1.79989863599041e+002
1.08143395129794e+000	5.33301150925570e+001	1.79989812079588e+002
1.08392691402120e+000	5.33301150919893e+001	1.79989760506119e+002
1.08642562361706e+000	5.33301150914168e+001	1.79989708878361e+002
1.08893009333343e+000	5.33301150908398e+001	1.79989657196041e+002
1.09144033644876e+000	5.33301150902582e+001	1.79989605458885e+002
1.09395636627209e+000	5.33301150896715e+001	1.79989553666617e+002
1.09647819614318e+000	5.33301150890802e+001	1.79989501818964e+002
1.09900583943252e+000	5.33301150884843e+001	1.79989449915651e+002
1.10153930954141e+000	5.33301150878835e+001	1.79989397956402e+002
1.10407861990207e+000	5.33301150872778e+001	1.79989345940943e+002
1.10662378397766e+000	5.33301150866676e+001	1.79989293868996e+002
1.10917481526240e+000	5.33301150860524e+001	1.79989241740287e+002
1.11173172728159e+000	5.33301150854324e+001	1.79989189554539e+002
1.11429453359173e+000	5.33301150848075e+001	1.79989137311474e+002
1.11686324778056e+000	5.33301150841779e+001	1.79989085010817e+002
1.11943788346715e+000	5.33301150835434e+001	1.79989032652290e+002
1.12201845430196e+000	5.33301150829041e+001	1.79988980235614e+002
1.12460497396692e+000	5.33301150822597e+001	1.79988927760513e+002
1.12719745617551e+000	5.33301150816105e+001	1.79988875226709e+002
1.12979591467280e+000	5.33301150809565e+001	1.79988822633921e+002
1.13240036323556e+000	5.33301150802976e+001	1.79988769981873e+002
1.13501081567231e+000	5.33301150796335e+001	1.79988717270284e+002
1.13762728582343e+000	5.33301150789648e+001	1.79988664498875e+002
1.14024978756117e+000	5.33301150782908e+001	1.79988611667366e+002
1.14287833478977e+000	5.33301150776119e+001	1.79988558775478e+002
1.14551294144553e+000	5.33301150769285e+001	1.79988505822930e+002
1.14815362149688e+000	5.33301150762393e+001	1.79988452809440e+002
1.15080038894443e+000	5.33301150755455e+001	1.79988399734728e+002
1.15345325782109e+000	5.33301150748468e+001	1.79988346598513e+002
1.15611224219210e+000	5.33301150741426e+001	1.79988293400513e+002
1.15877735615512e+000	5.33301150734337e+001	1.79988240140446e+002
1.16144861384034e+000	5.33301150727195e+001	1.79988186818029e+002
1.16412602941049e+000	5.33301150720003e+001	1.79988133432979e+002
1.16680961706096e+000	5.33301150712760e+001	1.79988079985015e+002
1.16949939101987e+000	5.33301150705465e+001	1.79988026473851e+002
1.17219536554813e+000	5.33301150698119e+001	1.79987972899205e+002
1.17489755493953e+000	5.33301150690721e+001	1.79987919260793e+002
1.17760597352080e+000	5.33301150683273e+001	1.79987865558330e+002
1.18032063565173e+000	5.33301150675772e+001	1.79987811791531e+002
1.18304155572516e+000	5.33301150668221e+001	1.79987757960111e+002
1.18576874816716e+000	5.33301150660612e+001	1.79987704063786e+002
1.18850222743702e+000	5.33301150652956e+001	1.79987650102268e+002
1.19124200802737e+000	5.33301150645246e+001	1.79987596075273e+002
1.19398810446427e+000	5.33301150637481e+001	1.79987541982513e+002
1.19674053130724e+000	5.33301150629667e+001	1.79987487823703e+002
1.19949930314938e+000	5.33301150621798e+001	1.79987433598553e+002
1.20226443461741e+000	5.33301150613874e+001	1.79987379306779e+002
1.20503594037179e+000	5.33301150605900e+001	1.79987324948090e+002
1.20781383510678e+000	5.33301150597870e+001	1.79987270522199e+002
1.21059813355048e+000	5.33301150589786e+001	1.79987216028819e+002
