vreg1	V(vo)	I(Rl)
4.000000000000000e+000	3.079076e+000	3.079076e-001
4.020000000000000e+000	3.096848e+000	3.096848e-001
4.039999999999999e+000	3.114473e+000	3.114473e-001
4.059999999999999e+000	3.131912e+000	3.131911e-001
4.079999999999998e+000	3.149116e+000	3.149116e-001
4.099999999999998e+000	3.166026e+000	3.166026e-001
4.119999999999997e+000	3.182564e+000	3.182564e-001
4.139999999999997e+000	3.198627e+000	3.198627e-001
4.159999999999997e+000	3.214074e+000	3.214074e-001
4.179999999999996e+000	3.228710e+000	3.228710e-001
4.199999999999996e+000	3.242254e+000	3.242254e-001
4.219999999999995e+000	3.254328e+000	3.254328e-001
4.239999999999995e+000	3.264475e+000	3.264475e-001
4.259999999999995e+000	3.272310e+000	3.272310e-001
4.279999999999994e+000	3.277780e+000	3.277780e-001
4.299999999999994e+000	3.281260e+000	3.281260e-001
4.319999999999993e+000	3.283331e+000	3.283331e-001
4.339999999999993e+000	3.284517e+000	3.284517e-001
4.359999999999992e+000	3.285191e+000	3.285191e-001
4.379999999999992e+000	3.285582e+000	3.285582e-001
4.399999999999992e+000	3.285822e+000	3.285822e-001
4.419999999999991e+000	3.285981e+000	3.285981e-001
4.439999999999991e+000	3.286098e+000	3.286098e-001
4.459999999999990e+000	3.286191e+000	3.286191e-001
4.479999999999990e+000	3.286273e+000	3.286273e-001
4.499999999999989e+000	3.286347e+000	3.286347e-001
4.519999999999989e+000	3.286418e+000	3.286419e-001
4.539999999999989e+000	3.286488e+000	3.286487e-001
4.559999999999988e+000	3.286555e+000	3.286555e-001
4.579999999999988e+000	3.286623e+000	3.286622e-001
4.599999999999987e+000	3.286689e+000	3.286689e-001
4.619999999999987e+000	3.286756e+000	3.286756e-001
4.639999999999986e+000	3.286822e+000	3.286822e-001
4.659999999999986e+000	3.286888e+000	3.286888e-001
4.679999999999986e+000	3.286953e+000	3.286954e-001
4.699999999999985e+000	3.287019e+000	3.287019e-001
4.719999999999985e+000	3.287085e+000	3.287085e-001
4.739999999999984e+000	3.287150e+000	3.287150e-001
4.759999999999984e+000	3.287215e+000	3.287215e-001
4.779999999999983e+000	3.287280e+000	3.287280e-001
4.799999999999983e+000	3.287345e+000	3.287345e-001
4.819999999999983e+000	3.287410e+000	3.287410e-001
4.839999999999982e+000	3.287475e+000	3.287475e-001
4.859999999999982e+000	3.287539e+000	3.287539e-001
4.879999999999981e+000	3.287604e+000	3.287604e-001
4.899999999999981e+000	3.287668e+000	3.287669e-001
4.919999999999980e+000	3.287733e+000	3.287733e-001
4.939999999999980e+000	3.287797e+000	3.287797e-001
4.959999999999980e+000	3.287861e+000	3.287861e-001
4.979999999999979e+000	3.287925e+000	3.287925e-001
4.999999999999979e+000	3.287988e+000	3.287989e-001
5.019999999999978e+000	3.288052e+000	3.288052e-001
5.039999999999978e+000	3.288116e+000	3.288116e-001
5.059999999999977e+000	3.288179e+000	3.288179e-001
5.079999999999977e+000	3.288243e+000	3.288243e-001
5.099999999999977e+000	3.288306e+000	3.288306e-001
5.119999999999976e+000	3.288369e+000	3.288369e-001
5.139999999999976e+000	3.288432e+000	3.288432e-001
5.159999999999975e+000	3.288495e+000	3.288495e-001
5.179999999999975e+000	3.288558e+000	3.288558e-001
5.199999999999974e+000	3.288621e+000	3.288621e-001
5.219999999999974e+000	3.288683e+000	3.288683e-001
5.239999999999974e+000	3.288746e+000	3.288746e-001
