rl	V(vf)	I(Rl)
1.000000000000000e-006	4.591840e-003	1.966183e-001
2.000010000000000e-001	1.407673e-002	2.011202e-001
4.000010000000001e-001	2.400615e-002	2.058329e-001
6.000010000000000e-001	3.441206e-002	2.107719e-001
8.000010000000000e-001	4.532964e-002	2.159537e-001
1.000001000000000e+000	5.679756e-002	2.213967e-001
1.200001000000000e+000	6.885850e-002	2.271211e-001
1.400001000000000e+000	8.155970e-002	2.331495e-001
1.600001000000000e+000	9.495350e-002	2.395065e-001
1.800001000000000e+000	1.090982e-001	2.462199e-001
2.000001000000000e+000	1.240586e-001	2.533205e-001
2.200001000000000e+000	1.399076e-001	2.608427e-001
2.400001000000000e+000	1.567266e-001	2.688253e-001
2.600001000000000e+000	1.746075e-001	2.773119e-001
2.800001000000000e+000	1.936541e-001	2.863518e-001
3.000001000000001e+000	2.139843e-001	2.960008e-001
3.200001000000001e+000	2.357324e-001	3.063228e-001
3.400001000000001e+000	2.590519e-001	3.173905e-001
3.600001000000001e+000	2.841198e-001	3.292879e-001
3.800001000000001e+000	3.111400e-001	3.421119e-001
4.000001000000001e+000	3.403499e-001	3.559751e-001
4.200001000000001e+000	3.720270e-001	3.710091e-001
4.400001000000001e+000	4.064975e-001	3.873688e-001
4.600001000000002e+000	4.441480e-001	4.052375e-001
4.800001000000002e+000	4.854396e-001	4.248342e-001
5.000001000000002e+000	5.309272e-001	4.464221e-001
5.200001000000002e+000	5.812846e-001	4.703209e-001
5.400001000000002e+000	6.373377e-001	4.969226e-001
5.600001000000002e+000	7.001104e-001	5.267128e-001
5.800001000000003e+000	7.708877e-001	5.603014e-001
6.000001000000003e+000	8.513041e-001	5.984637e-001
6.200001000000003e+000	9.434680e-001	6.421997e-001
6.400001000000003e+000	1.049933e+000	6.926920e-001
6.600001000000003e+000	1.160928e+000	7.436987e-001
6.800001000000004e+000	1.188428e+000	7.398221e-001
7.000001000000004e+000	1.188492e+000	7.190218e-001
7.200001000000004e+000	1.188535e+000	6.993493e-001
7.400001000000004e+000	1.188576e+000	6.807241e-001
7.600001000000004e+000	1.188614e+000	6.630649e-001
7.800001000000004e+000	1.188649e+000	6.462983e-001
8.000001000000005e+000	1.188682e+000	6.303585e-001
8.200001000000004e+000	1.188713e+000	6.151857e-001
8.400001000000003e+000	1.188742e+000	6.007259e-001
8.600001000000002e+000	1.188769e+000	5.869300e-001
8.800001000000002e+000	1.188795e+000	5.737534e-001
9.000001000000001e+000	1.188819e+000	5.611553e-001
9.200001000000000e+000	1.188842e+000	5.490983e-001
9.400001000000000e+000	1.188864e+000	5.375485e-001
9.600000999999999e+000	1.188884e+000	5.264744e-001
9.800000999999998e+000	1.188903e+000	5.158473e-001
1.000000100000000e+001	1.188922e+000	5.056406e-001
1.020000100000000e+001	1.188939e+000	4.958299e-001
1.040000100000000e+001	1.188956e+000	4.863926e-001
1.060000100000000e+001	1.188972e+000	4.773078e-001
1.080000100000000e+001	1.188987e+000	4.685561e-001
1.100000099999999e+001	1.189002e+000	4.601194e-001
1.120000099999999e+001	1.189015e+000	4.519812e-001
1.140000099999999e+001	1.189029e+000	4.441258e-001
1.160000099999999e+001	1.189041e+000	4.365387e-001
1.180000099999999e+001	1.189054e+000	4.292065e-001
1.200000000000000e+001	1.189065e+000	4.221165e-001
