rl	V(vo)
1.000000000000000e-006	1.909749e-007
2.000010000000000e-001	3.958829e-002
4.000010000000001e-001	8.217359e-002
6.000010000000000e-001	1.281098e-001
8.000010000000000e-001	1.778088e-001
1.000001000000000e+000	2.317524e-001
1.200001000000000e+000	2.905087e-001
1.400001000000000e+000	3.547520e-001
1.600001000000000e+000	4.252883e-001
1.800001000000000e+000	5.030900e-001
2.000001000000000e+000	5.893404e-001
2.200001000000000e+000	6.854949e-001
2.400001000000000e+000	7.933630e-001
2.600001000000000e+000	9.152241e-001
2.800001000000000e+000	1.053989e+000
3.000001000000001e+000	1.213439e+000
3.200001000000001e+000	1.398568e+000
3.400001000000001e+000	1.616124e+000
3.600001000000001e+000	1.875444e+000
3.800001000000001e+000	2.189828e+000
4.000001000000001e+000	2.578889e+000
4.200001000000001e+000	3.067733e+000
4.400001000000001e+000	3.273773e+000
4.600001000000002e+000	3.277119e+000
4.800001000000002e+000	3.280188e+000
5.000001000000002e+000	3.283012e+000
5.200001000000002e+000	3.285619e+000
5.400001000000002e+000	3.288035e+000
5.600001000000002e+000	3.290279e+000
5.800001000000003e+000	3.292369e+000
6.000001000000003e+000	3.294320e+000
6.200001000000003e+000	3.296145e+000
6.400001000000003e+000	3.297858e+000
6.600001000000003e+000	3.299467e+000
6.800001000000004e+000	3.300982e+000
7.000001000000004e+000	3.302410e+000
7.200001000000004e+000	3.303760e+000
7.400001000000004e+000	3.305037e+000
7.600001000000004e+000	3.306247e+000
7.800001000000004e+000	3.307395e+000
8.000001000000005e+000	3.308486e+000
8.200001000000004e+000	3.309524e+000
8.400001000000003e+000	3.310513e+000
8.600001000000002e+000	3.311456e+000
8.800001000000002e+000	3.312357e+000
9.000001000000001e+000	3.313217e+000
9.200001000000000e+000	3.314041e+000
9.400001000000000e+000	3.314829e+000
9.600000999999999e+000	3.315585e+000
9.800000999999998e+000	3.316310e+000
1.000000100000000e+001	3.317006e+000
1.020000100000000e+001	3.317675e+000
1.040000100000000e+001	3.318319e+000
1.060000100000000e+001	3.318938e+000
1.080000100000000e+001	3.319534e+000
1.100000099999999e+001	3.320109e+000
1.120000099999999e+001	3.320663e+000
1.140000099999999e+001	3.321198e+000
1.160000099999999e+001	3.321714e+000
1.180000099999999e+001	3.322214e+000
1.200000000000000e+001	3.322696e+000
