Rl	Vo	I
617.5	4.94	8
494	4.94	10
176.4285714	4.94	28
117.3809524	4.93	42
74.6969697	4.93	66
67.53424658	4.93	73
59.27710843	4.92	83
51.25	4.92	96
45.88785047	4.91	107
42.24137931	4.90	116
39.44	4.93	125
37.06766917	4.93	133
34.23611111	4.93	144
32.01298701	4.93	154
30.55900621	4.92	161
28.77192982	4.92	171
23.83495146	4.91	206
22.8372093	4.91	215
18.01470588	4.90	272
16.26666667	4.88	300
14.50746269	4.86	335
10.6401766	4.82	453
9.356725146	4.80	513
9.089184061	4.79	527
8.986866792	4.79	533
8.139931741	4.77	586
7.043090639	4.74	673
6.885007278	4.73	687
4.80	1.92	400
2.865329513	1.00	349
2.482014388	0.69	278
1.78030303	0.47	264
0.6666666667	0.20	300
