Vin	Vo
0.0	0.0
0.8	0.1
0.9	0.11
1.0	0.44
1.1	0.57
1.2	0.66
1.3	0.76
1.4	0.85
1.5	0.94
1.6	1.04
1.7	1.13
1.8	1.22
1.9	1.32
2.0	1.41
2.1	1.5
2.2	1.59
2.3	1.69
2.4	1.78
2.5	1.88
2.6	1.97
2.7	2.06
2.8	2.15
2.9	2.24
3.0	2.34
3.1	2.43
3.2	2.52
3.3	2.61
3.4	2.7
3.5	2.8
3.6	2.89
3.7	2.98
3.8	3.07
3.9	3.16
4.0	3.25
4.1	3.34
4.2	3.44
4.30000000000001	3.53
4.40000000000001	3.63
4.50000000000001	3.72
4.70000000000002	3.9
4.80000000000002	4.0
4.90000000000002	4.09
5.00000000000002	4.18
5.10000000000002	4.27
5.20000000000002	4.36
5.30000000000002	4.46
5.40000000000002	4.55
5.50000000000002	4.64
5.60000000000002	4.73
5.70000000000002	4.82
5.80000000000002	4.9
5.90000000000002	4.98
6.00000000000002	5.02
6.10000000000002	5.04
6.20000000000002	5.04
6.30000000000002	5.06
6.40000000000002	5.08
6.50000000000003	5.1
6.60000000000003	5.11
6.70000000000003	5.12
7.0	5.15
8.0	5.2
9.0	5.27
10.0	5.36
11.0	5.44
12.0	5.54
13.0	5.63
14.0	5.74
15.0	5.86
16.0	5.98
17.0	6.11
18.0	6.26
19.0	6.41
20.0	6.55
21.0	6.68
22.0	6.83
23.0	6.97
24.0	7.12
25.0	7.28
