rl	V(Vreg,N002)*Ie(Q9)
1.000000000000000e-006	1.244789e+000
2.000010000000000e-001	1.265207e+000
4.000010000000001e-001	1.286199e+000
6.000010000000000e-001	1.307766e+000
8.000010000000000e-001	1.329918e+000
1.000001000000000e+000	1.352660e+000
1.200001000000000e+000	1.376008e+000
1.400001000000000e+000	1.399935e+000
1.600001000000000e+000	1.424470e+000
1.800001000000000e+000	1.449578e+000
2.000001000000000e+000	1.475241e+000
2.200001000000000e+000	1.501429e+000
2.400001000000000e+000	1.528102e+000
2.600001000000000e+000	1.555176e+000
2.800001000000000e+000	1.582590e+000
3.000001000000001e+000	1.610216e+000
3.200001000000001e+000	1.637898e+000
3.400001000000001e+000	1.665433e+000
3.600001000000001e+000	1.692554e+000
3.800001000000001e+000	1.718910e+000
4.000001000000001e+000	1.744052e+000
4.200001000000001e+000	1.767370e+000
4.400001000000001e+000	1.788084e+000
4.600001000000002e+000	1.805161e+000
4.800001000000002e+000	1.817228e+000
5.000001000000002e+000	1.822456e+000
5.200001000000002e+000	1.818380e+000
5.400001000000002e+000	1.801656e+000
5.600001000000002e+000	1.767686e+000
5.800001000000003e+000	1.710074e+000
6.000001000000003e+000	1.619760e+000
6.200001000000003e+000	1.483763e+000
6.400001000000003e+000	1.283347e+000
6.600001000000003e+000	1.019732e+000
6.800001000000004e+000	9.239395e-001
7.000001000000004e+000	8.978756e-001
7.200001000000004e+000	8.732479e-001
7.400001000000004e+000	8.499413e-001
7.600001000000004e+000	8.278514e-001
7.800001000000004e+000	8.068857e-001
8.000001000000005e+000	7.869601e-001
8.200001000000004e+000	7.679992e-001
8.400001000000003e+000	7.499342e-001
8.600001000000002e+000	7.327035e-001
8.800001000000002e+000	7.162503e-001
9.000001000000001e+000	7.005228e-001
9.200001000000000e+000	6.854744e-001
9.400001000000000e+000	6.710617e-001
9.600000999999999e+000	6.572454e-001
9.800000999999998e+000	6.440246e-001
1.000000100000000e+001	6.312597e-001
1.020000100000000e+001	6.190259e-001
1.040000100000000e+001	6.072596e-001
1.060000100000000e+001	5.959240e-001
1.080000100000000e+001	5.850260e-001
1.100000099999999e+001	5.745116e-001
1.120000099999999e+001	5.643705e-001
1.140000099999999e+001	5.545830e-001
1.160000099999999e+001	5.451309e-001
1.180000099999999e+001	5.359972e-001
1.200000000000000e+001	5.271663e-001
