rl	V(vo)	I(Rl)
1.000000000000000e-006	1.983452e-007	1.983452e-001
2.000010000000000e-001	4.111618e-002	2.055799e-001
4.000010000000001e-001	8.534513e-002	2.133623e-001
6.000010000000000e-001	1.330545e-001	2.217571e-001
8.000010000000000e-001	1.846719e-001	2.308396e-001
1.000001000000000e+000	2.406980e-001	2.406977e-001
1.200001000000000e+000	3.017228e-001	2.514355e-001
1.400001000000000e+000	3.684466e-001	2.631759e-001
1.600001000000000e+000	4.417067e-001	2.760665e-001
1.800001000000000e+000	5.225130e-001	2.902848e-001
2.000001000000000e+000	6.120949e-001	3.060473e-001
2.200001000000000e+000	7.119637e-001	3.236197e-001
2.400001000000000e+000	8.239994e-001	3.433329e-001
2.600001000000000e+000	9.505695e-001	3.656035e-001
2.800001000000000e+000	1.094698e+000	3.909635e-001
3.000001000000001e+000	1.260312e+000	4.201038e-001
3.200001000000001e+000	1.452600e+000	4.539374e-001
3.400001000000001e+000	1.678573e+000	4.936977e-001
3.600001000000001e+000	1.947929e+000	5.410911e-001
3.800001000000001e+000	2.274486e+000	5.985488e-001
4.000001000000001e+000	2.678613e+000	6.696530e-001
4.200001000000001e+000	3.177614e+000	7.565745e-001
4.400001000000001e+000	3.273773e+000	7.440391e-001
4.600001000000002e+000	3.277119e+000	7.124170e-001
4.800001000000002e+000	3.280188e+000	6.833723e-001
5.000001000000002e+000	3.283012e+000	6.566022e-001
5.200001000000002e+000	3.285619e+000	6.318498e-001
5.400001000000002e+000	3.288035e+000	6.088952e-001
5.600001000000002e+000	3.290279e+000	5.875497e-001
5.800001000000003e+000	3.292369e+000	5.676497e-001
6.000001000000003e+000	3.294320e+000	5.490532e-001
6.200001000000003e+000	3.296145e+000	5.316363e-001
6.400001000000003e+000	3.297858e+000	5.152902e-001
6.600001000000003e+000	3.299467e+000	4.999191e-001
6.800001000000004e+000	3.300982e+000	4.854384e-001
7.000001000000004e+000	3.302410e+000	4.717728e-001
7.200001000000004e+000	3.303760e+000	4.588555e-001
7.400001000000004e+000	3.305037e+000	4.466265e-001
7.600001000000004e+000	3.306247e+000	4.350324e-001
7.800001000000004e+000	3.307395e+000	4.240249e-001
8.000001000000005e+000	3.308486e+000	4.135607e-001
8.200001000000004e+000	3.309524e+000	4.036005e-001
8.400001000000003e+000	3.310513e+000	3.941087e-001
8.600001000000002e+000	3.311456e+000	3.850530e-001
8.800001000000002e+000	3.312357e+000	3.764041e-001
9.000001000000001e+000	3.313217e+000	3.681352e-001
9.200001000000000e+000	3.314041e+000	3.602218e-001
9.400001000000000e+000	3.314829e+000	3.526414e-001
9.600000999999999e+000	3.315585e+000	3.453734e-001
9.800000999999998e+000	3.316310e+000	3.383989e-001
1.000000100000000e+001	3.317006e+000	3.317006e-001
1.020000100000000e+001	3.317675e+000	3.252622e-001
1.040000100000000e+001	3.318319e+000	3.190691e-001
1.060000100000000e+001	3.318938e+000	3.131073e-001
1.080000100000000e+001	3.319534e+000	3.073642e-001
1.100000099999999e+001	3.320109e+000	3.018280e-001
1.120000099999999e+001	3.320663e+000	2.964877e-001
1.140000099999999e+001	3.321198e+000	2.913331e-001
1.160000099999999e+001	3.321714e+000	2.863547e-001
1.180000099999999e+001	3.322214e+000	2.815435e-001
1.200000000000000e+001	3.322696e+000	2.768914e-001
