time	V(vo)
0.000000000000000e+000	5.027298e+000
9.999999439624929e-011	5.027298e+000
1.039399633272257e-010	5.027298e+000
1.118199011891786e-010	5.027298e+000
1.275797769130844e-010	5.027298e+000
1.554287015388790e-010	5.027298e+000
2.003213104225961e-010	5.027298e+000
2.451276578905500e-010	5.027298e+000
3.347403528264580e-010	5.027298e+000
5.139657426982740e-010	5.027298e+000
8.724165224419059e-010	5.027298e+000
1.498801083109901e-009	5.027298e+000
2.596035975404094e-009	5.027298e+000
4.790505759992479e-009	5.027298e+000
9.179445329169251e-009	5.027299e+000
1.795732446752279e-008	5.027305e+000
2.957426554849041e-008	5.027321e+000
4.304782864865028e-008	5.027359e+000
5.798733523909169e-008	5.027435e+000
7.957546714795925e-008	5.027610e+000
1.000019266470855e-007	5.027853e+000
1.243504992113918e-007	5.028247e+000
1.501833691112750e-007	5.028773e+000
1.808069017142215e-007	5.029512e+000
2.179541960267025e-007	5.030520e+000
2.572616028537285e-007	5.031672e+000
2.863713198402967e-007	5.032573e+000
3.150869199393735e-007	5.033503e+000
3.468810998880192e-007	5.034579e+000
3.872945272996394e-007	5.036001e+000
4.130260427262899e-007	5.036933e+000
4.442526942634450e-007	5.038088e+000
4.803171892262857e-007	5.039433e+000
5.402980664100282e-007	5.041665e+000
5.965736634021330e-007	5.043734e+000
6.521567328212389e-007	5.045733e+000
6.958255781005196e-007	5.047255e+000
7.494057136865945e-007	5.049044e+000
8.069785873763273e-007	5.050835e+000
9.221243347557930e-007	5.054025e+000
1.056933647031653e-006	5.057157e+000
1.201206373985444e-006	5.059730e+000
1.353874050518829e-006	5.061638e+000
1.501316627463739e-006	5.062758e+000
1.693990111695059e-006	5.063428e+000
1.966378610608105e-006	5.063674e+000
2.217970487817589e-006	5.063695e+000
2.409287075676284e-006	5.063839e+000
2.588383876249524e-006	5.064239e+000
2.789080624333278e-006	5.065006e+000
3.002121147745279e-006	5.066123e+000
3.274871032443932e-006	5.067821e+000
3.551186526072076e-006	5.069627e+000
3.852775685641944e-006	5.071509e+000
4.163071444087482e-006	5.073229e+000
4.485469745337098e-006	5.074764e+000
4.859706392033204e-006	5.076317e+000
5.286092611603260e-006	5.077948e+000
5.779763037250699e-006	5.079774e+000
6.325661434126323e-006	5.081738e+000
6.960434774910626e-006	5.083869e+000
7.852241429552954e-006	5.086545e+000
8.730755969645051e-006	5.088834e+000
1.010748880606463e-005	5.091888e+000
1.168191374843638e-005	5.094708e+000
1.435753491165834e-005	5.098331e+000
1.679305856687235e-005	5.100665e+000
2.033910993304139e-005	5.102845e+000
2.439338952918544e-005	5.104322e+000
3.013174208717636e-005	5.105391e+000
3.639514747567580e-005	5.105914e+000
4.399343081714018e-005	5.106140e+000
5.399343081714018e-005	5.106229e+000
6.399343081714018e-005	5.106250e+000
7.399343081714018e-005	5.106254e+000
8.399343081714018e-005	5.106255e+000
9.399343081714017e-005	5.106255e+000
1.039934308171402e-004	5.106255e+000
1.139934308171402e-004	5.106255e+000
1.239934308171402e-004	5.106255e+000
1.339934308171402e-004	5.106255e+000
1.439934308171402e-004	5.106255e+000
1.539934308171402e-004	5.106255e+000
1.639934308171402e-004	5.106255e+000
1.739934308171402e-004	5.106255e+000
1.839934308171402e-004	5.106255e+000
1.939934308171402e-004	5.106255e+000
2.039934308171402e-004	5.106255e+000
2.139934308171402e-004	5.106255e+000
2.239934308171402e-004	5.106255e+000
2.339934308171402e-004	5.106255e+000
2.439934308171402e-004	5.106255e+000
2.539934308171402e-004	5.106255e+000
2.639934308171402e-004	5.106255e+000
2.739934308171403e-004	5.106255e+000
2.839934308171403e-004	5.106255e+000
2.939934308171403e-004	5.106255e+000
3.039934308171403e-004	5.106255e+000
3.139934308171404e-004	5.106255e+000
3.239934308171404e-004	5.106255e+000
3.339934308171404e-004	5.106255e+000
3.439934308171404e-004	5.106255e+000
3.539934308171405e-004	5.106255e+000
3.639934308171405e-004	5.106255e+000
3.739934308171405e-004	5.106255e+000
3.839934308171405e-004	5.106255e+000
3.939934308171406e-004	5.106255e+000
4.039934308171406e-004	5.106255e+000
4.139934308171406e-004	5.106255e+000
4.239934308171407e-004	5.106255e+000
4.339934308171407e-004	5.106255e+000
4.439934308171407e-004	5.106255e+000
4.639934308171408e-004	5.106255e+000
4.739934308171408e-004	5.106255e+000
4.839934308171408e-004	5.106255e+000
4.939934308171408e-004	5.106255e+000
5.039934308171409e-004	5.106255e+000
5.139934308171409e-004	5.106255e+000
5.239934308171409e-004	5.106255e+000
5.339934308171409e-004	5.106255e+000
5.439934308171410e-004	5.106255e+000
5.539934308171410e-004	5.106255e+000
5.639934308171410e-004	5.106255e+000
5.739934308171410e-004	5.106255e+000
5.839934308171411e-004	5.106255e+000
5.939934308171411e-004	5.106255e+000
6.039934308171411e-004	5.106255e+000
6.139934308171412e-004	5.106255e+000
6.239934308171412e-004	5.106255e+000
6.425648593885698e-004	5.106255e+000
6.611362879599984e-004	5.106255e+000
6.797077165314271e-004	5.106255e+000
6.982791451028557e-004	5.106255e+000
7.168505736742843e-004	5.106255e+000
7.354220022457130e-004	5.106255e+000
7.539934308171415e-004	5.106255e+000
9.900000000010001e-004	5.106255e+000
1.000000000001000e-003	5.097688e+000
1.002584947739253e-003	5.082582e+000
1.003681354792847e-003	5.070521e+000
1.004089502713297e-003	5.066839e+000
1.004238062856372e-003	5.066211e+000
1.004319469716042e-003	5.066046e+000
1.004418978398625e-003	5.065900e+000
1.004493989186750e-003	5.065805e+000
1.004578941096836e-003	5.065701e+000
1.004669881774453e-003	5.065576e+000
1.004776516747856e-003	5.065394e+000
1.004929976863228e-003	5.065053e+000
1.005086796117354e-003	5.064592e+000
1.005302423137210e-003	5.063772e+000
1.005580281960292e-003	5.062501e+000
1.005934806960648e-003	5.060721e+000
1.006290218529062e-003	5.058952e+000
1.006641913723404e-003	5.057361e+000
1.007051743909139e-003	5.055744e+000
1.007473170170287e-003	5.054274e+000
1.008002089671107e-003	5.052568e+000
1.008596027202146e-003	5.050733e+000
1.009285111229200e-003	5.048725e+000
1.010191425450840e-003	5.046336e+000
1.011156979610804e-003	5.044113e+000
1.012472873599736e-003	5.041543e+000
1.014444949278223e-003	5.038391e+000
1.016696110455125e-003	5.035626e+000
1.019597057728520e-003	5.033105e+000
1.023721842469372e-003	5.030772e+000
1.028544279082354e-003	5.029180e+000
1.034466768352310e-003	5.028198e+000
1.042414103374134e-003	5.027624e+000
1.050701695808359e-003	5.027402e+000
1.060701695808359e-003	5.027325e+000
1.070701695808359e-003	5.027304e+000
1.080701695808359e-003	5.027300e+000
1.090701695808359e-003	5.027298e+000
1.100701695808359e-003	5.027298e+000
1.110701695808359e-003	5.027298e+000
1.120701695808359e-003	5.027298e+000
1.130701695808359e-003	5.027298e+000
1.140701695808359e-003	5.027298e+000
1.150701695808359e-003	5.027298e+000
1.160701695808359e-003	5.027298e+000
1.170701695808359e-003	5.027298e+000
1.180701695808359e-003	5.027298e+000
