
time	V(vo)
0.000000000000000e+000	2.234210e+000
9.999999439624929e-011	2.234210e+000
1.010447708910833e-010	2.234210e+000
1.031343238807513e-010	2.234210e+000
1.073134298600873e-010	2.234210e+000
1.156716418187593e-010	2.234210e+000
1.323413780802265e-010	2.234210e+000
1.656808506031607e-010	2.234210e+000
2.010405986269917e-010	2.234210e+000
2.473365984074765e-010	2.234210e+000
3.033753225109629e-010	2.234210e+000
4.028199488483434e-010	2.234210e+000
5.640150089934810e-010	2.234210e+000
8.864051292837565e-010	2.234210e+000
1.531185369864307e-009	2.234210e+000
2.606112256003612e-009	2.234210e+000
3.917252564345580e-009	2.234210e+000
6.314120846658343e-009	2.234211e+000
9.336211987435581e-009	2.234211e+000
1.361735770434811e-008	2.234212e+000
2.046349575891167e-008	2.234214e+000
3.211332825991131e-008	2.234218e+000
5.110559597952151e-008	2.234225e+000
8.269576150701829e-008	2.234242e+000
1.268456878988661e-007	2.234270e+000
1.682989223337405e-007	2.234302e+000
2.149483824096479e-007	2.234342e+000
2.602156228920179e-007	2.234384e+000
3.126489961761268e-007	2.234435e+000
3.699019906352215e-007	2.234494e+000
4.432451817550982e-007	2.234571e+000
5.425048365651430e-007	2.234675e+000
6.412526129687937e-007	2.234777e+000
7.424786702230656e-007	2.234877e+000
8.553244461937917e-007	2.234983e+000
9.836396878086152e-007	2.235094e+000
1.173423055324123e-006	2.235235e+000
1.484952213103109e-006	2.235419e+000
1.767520202505549e-006	2.235532e+000
2.238973132239982e-006	2.235629e+000
3.181878991708849e-006	2.235722e+000
4.033927452167834e-006	2.235828e+000
5.089829729919449e-006	2.236068e+000
6.362518717390213e-006	2.236440e+000
7.971346472487894e-006	2.236883e+000
9.580586942771834e-006	2.237273e+000
1.188833829287343e-005	2.237821e+000
1.218791846320372e-005	2.237896e+000
1.278707880386430e-005	2.238049e+000
1.398539948518547e-005	2.238341e+000
1.638204084782781e-005	2.238902e+000
2.117532357311247e-005	2.239991e+000
2.650220229767470e-005	2.241147e+000
3.650220229767470e-005	2.243181e+000
4.650220229767470e-005	2.245066e+000
5.650220229767469e-005	2.246795e+000
6.650220229767470e-005	2.248380e+000
7.650220229767470e-005	2.249833e+000
8.650220229767470e-005	2.251165e+000
9.650220229767470e-005	2.252386e+000
1.065022022976747e-004	2.253505e+000
1.165022022976747e-004	2.254532e+000
1.265022022976747e-004	2.255473e+000
1.365022022976747e-004	2.256336e+000
1.465022022976747e-004	2.257126e+000
1.565022022976747e-004	2.257851e+000
1.665022022976747e-004	2.258516e+000
1.765022022976747e-004	2.259125e+000
1.865022022976747e-004	2.259683e+000
1.965022022976747e-004	2.260195e+000
2.065022022976747e-004	2.260665e+000
2.165022022976747e-004	2.261095e+000
2.265022022976747e-004	2.261489e+000
2.365022022976747e-004	2.261851e+000
2.465022022976747e-004	2.262182e+000
2.565022022976747e-004	2.262486e+000
2.665022022976748e-004	2.262764e+000
2.765022022976748e-004	2.263020e+000
2.865022022976748e-004	2.263253e+000
2.965022022976748e-004	2.263468e+000
3.065022022976749e-004	2.263664e+000
3.165022022976749e-004	2.263844e+000
3.265022022976749e-004	2.264010e+000
3.365022022976750e-004	2.264161e+000
3.465022022976750e-004	2.264300e+000
3.565022022976750e-004	2.264427e+000
3.665022022976750e-004	2.264544e+000
3.765022022976751e-004	2.264651e+000
3.865022022976751e-004	2.264749e+000
3.965022022976751e-004	2.264838e+000
4.065022022976751e-004	2.264921e+000
4.165022022976752e-004	2.264996e+000
4.265022022976752e-004	2.265065e+000
4.365022022976752e-004	2.265129e+000
4.465022022976752e-004	2.265187e+000
4.565022022976753e-004	2.265240e+000
4.665022022976753e-004	2.265289e+000
4.765022022976753e-004	2.265334e+000
4.865022022976753e-004	2.265375e+000
4.965022022976754e-004	2.265412e+000
5.065022022976754e-004	2.265447e+000
5.165022022976754e-004	2.265479e+000
5.265022022976755e-004	2.265507e+000
5.365022022976755e-004	2.265534e+000
5.465022022976755e-004	2.265558e+000
5.565022022976755e-004	2.265581e+000
5.665022022976756e-004	2.265601e+000
5.765022022976756e-004	2.265620e+000
5.865022022976756e-004	2.265637e+000
5.965022022976756e-004	2.265653e+000
6.065022022976757e-004	2.265667e+000
6.165022022976757e-004	2.265681e+000
6.265022022976757e-004	2.265693e+000
6.365022022976757e-004	2.265704e+000
6.465022022976758e-004	2.265714e+000
6.565022022976758e-004	2.265723e+000
6.665022022976758e-004	2.265732e+000
6.765022022976758e-004	2.265740e+000
6.865022022976759e-004	2.265747e+000
6.965022022976759e-004	2.265754e+000
7.065022022976759e-004	2.265759e+000
7.165022022976759e-004	2.265765e+000
7.265022022976760e-004	2.265770e+000
7.365022022976760e-004	2.265775e+000
7.465022022976760e-004	2.265779e+000
7.565022022976761e-004	2.265783e+000
7.765022022976761e-004	2.265790e+000
7.965022022976762e-004	2.265796e+000
8.165022022976762e-004	2.265800e+000
8.365022022976763e-004	2.265805e+000
8.565022022976763e-004	2.265808e+000
8.765022022976764e-004	2.265811e+000
8.965022022976764e-004	2.265813e+000
9.165022022976765e-004	2.265815e+000
9.465022022976766e-004	2.265818e+000
9.765022022976766e-004	2.265820e+000
9.988370300469318e-004	2.265821e+000
1.000000000001000e-003	2.265785e+000
1.000287454321295e-003	2.265715e+000
1.000401649168420e-003	2.265644e+000
1.000461968868652e-003	2.265591e+000
1.000507625155620e-003	2.265547e+000
1.000562176461850e-003	2.265492e+000
1.000631015468154e-003	2.265422e+000
1.000701537400897e-003	2.265349e+000
1.000795177304787e-003	2.265255e+000
1.000913006796851e-003	2.265140e+000
1.001027380565304e-003	2.265035e+000
1.001159237907971e-003	2.264924e+000
1.001324055555360e-003	2.264804e+000
