rl	V(Vlc,N002)	V(Vreg,N001)
1.000000000000000e-006	6.523066e-001	7.447639e-001
2.000010000000000e-001	6.533718e-001	7.458096e-001
4.000010000000001e-001	6.544835e-001	7.468987e-001
6.000010000000000e-001	6.556459e-001	7.480340e-001
8.000010000000000e-001	6.568639e-001	7.492204e-001
1.000001000000000e+000	6.581425e-001	7.504621e-001
1.200001000000000e+000	6.594882e-001	7.517643e-001
1.400001000000000e+000	6.609080e-001	7.531338e-001
1.600001000000000e+000	6.624102e-001	7.545767e-001
1.800001000000000e+000	6.640047e-001	7.561021e-001
2.000001000000000e+000	6.657034e-001	7.577195e-001
2.200001000000000e+000	6.675199e-001	7.594409e-001
2.400001000000000e+000	6.694713e-001	7.612791e-001
2.600001000000000e+000	6.715783e-001	7.632513e-001
2.800001000000000e+000	6.738663e-001	7.653775e-001
3.000001000000001e+000	6.763680e-001	7.676835e-001
3.200001000000001e+000	6.791246e-001	7.702007e-001
3.400001000000001e+000	6.821909e-001	7.729702e-001
3.600001000000001e+000	6.856400e-001	7.760448e-001
3.800001000000001e+000	6.895733e-001	7.794971e-001
4.000001000000001e+000	6.941357e-001	7.834253e-001
4.200001000000001e+000	6.994078e-001	7.878561e-001
4.400001000000001e+000	7.003369e-001	7.885809e-001
4.600001000000002e+000	6.984863e-001	7.869806e-001
4.800001000000002e+000	6.967466e-001	7.854638e-001
5.000001000000002e+000	6.951056e-001	7.840219e-001
5.200001000000002e+000	6.935542e-001	7.826490e-001
5.400001000000002e+000	6.920826e-001	7.813387e-001
5.600001000000002e+000	6.906846e-001	7.800860e-001
5.800001000000003e+000	6.893530e-001	7.788858e-001
6.000001000000003e+000	6.880822e-001	7.777352e-001
6.200001000000003e+000	6.868668e-001	7.766290e-001
6.400001000000003e+000	6.857030e-001	7.755651e-001
6.600001000000003e+000	6.845865e-001	7.745404e-001
6.800001000000004e+000	6.835134e-001	7.735510e-001
7.000001000000004e+000	6.824825e-001	7.725968e-001
7.200001000000004e+000	6.814885e-001	7.716742e-001
7.400001000000004e+000	6.805298e-001	7.707815e-001
7.600001000000004e+000	6.796041e-001	7.699165e-001
7.800001000000004e+000	6.787093e-001	7.690778e-001
8.000001000000005e+000	6.778436e-001	7.682643e-001
8.200001000000004e+000	6.770051e-001	7.674742e-001
8.400001000000003e+000	6.761925e-001	7.667065e-001
8.600001000000002e+000	6.754038e-001	7.659597e-001
8.800001000000002e+000	6.746380e-001	7.652330e-001
9.000001000000001e+000	6.738942e-001	7.645254e-001
9.200001000000000e+000	6.731703e-001	7.638354e-001
9.400001000000000e+000	6.724665e-001	7.631631e-001
9.600000999999999e+000	6.717806e-001	7.625065e-001
9.800000999999998e+000	6.711125e-001	7.618661e-001
1.000000100000000e+001	6.704609e-001	7.612405e-001
1.020000100000000e+001	6.698256e-001	7.606292e-001
1.040000100000000e+001	6.692052e-001	7.600312e-001
1.060000100000000e+001	6.685994e-001	7.594466e-001
1.080000100000000e+001	6.680074e-001	7.588744e-001
1.100000099999999e+001	6.674287e-001	7.583141e-001
1.120000099999999e+001	6.668630e-001	7.577653e-001
1.140000099999999e+001	6.663089e-001	7.572279e-001
1.160000099999999e+001	6.657670e-001	7.567010e-001
1.180000099999999e+001	6.652360e-001	7.561841e-001
1.200000000000000e+001	6.647158e-001	7.556772e-001
