rl	V(N001,N002)	V(Vreg,N002)
1.000000000000000e-006	5.585454e+000	6.330218e+000
2.000010000000000e-001	5.542712e+000	6.288521e+000
4.000010000000001e-001	5.496817e+000	6.243716e+000
6.000010000000000e-001	5.447407e+000	6.195441e+000
8.000010000000000e-001	5.394055e+000	6.143276e+000
1.000001000000000e+000	5.336270e+000	6.086732e+000
1.200001000000000e+000	5.273469e+000	6.025233e+000
1.400001000000000e+000	5.204965e+000	5.958099e+000
1.600001000000000e+000	5.129941e+000	5.884517e+000
1.800001000000000e+000	5.047410e+000	5.803512e+000
2.000001000000000e+000	4.956182e+000	5.713901e+000
2.200001000000000e+000	4.854795e+000	5.614236e+000
2.400001000000000e+000	4.741444e+000	5.502723e+000
2.600001000000000e+000	4.613867e+000	5.377118e+000
2.800001000000000e+000	4.469191e+000	5.234569e+000
3.000001000000001e+000	4.303715e+000	5.071398e+000
3.200001000000001e+000	4.112585e+000	4.882785e+000
3.400001000000001e+000	3.889305e+000	4.662276e+000
3.600001000000001e+000	3.624987e+000	4.401032e+000
3.800001000000001e+000	3.307126e+000	4.086623e+000
4.000001000000001e+000	2.917573e+000	3.700999e+000
4.200001000000001e+000	2.438498e+000	3.226355e+000
4.400001000000001e+000	2.234683e+000	3.023264e+000
4.600001000000002e+000	2.236101e+000	3.023082e+000
4.800001000000002e+000	2.237456e+000	3.022919e+000
5.000001000000002e+000	2.238752e+000	3.022774e+000
5.200001000000002e+000	2.239993e+000	3.022642e+000
5.400001000000002e+000	2.241184e+000	3.022523e+000
5.600001000000002e+000	2.242329e+000	3.022415e+000
5.800001000000003e+000	2.243430e+000	3.022316e+000
6.000001000000003e+000	2.244486e+000	3.022222e+000
6.200001000000003e+000	2.245513e+000	3.022142e+000
6.400001000000003e+000	2.246500e+000	3.022065e+000
6.600001000000003e+000	2.247453e+000	3.021994e+000
6.800001000000004e+000	2.248454e+000	3.022005e+000
7.000001000000004e+000	2.249269e+000	3.021866e+000
7.200001000000004e+000	2.250134e+000	3.021809e+000
7.400001000000004e+000	2.250973e+000	3.021755e+000
7.600001000000004e+000	2.251788e+000	3.021705e+000
7.800001000000004e+000	2.252580e+000	3.021658e+000
8.000001000000005e+000	2.253349e+000	3.021613e+000
8.200001000000004e+000	2.254097e+000	3.021571e+000
8.400001000000003e+000	2.254825e+000	3.021532e+000
8.600001000000002e+000	2.255535e+000	3.021495e+000
8.800001000000002e+000	2.256226e+000	3.021459e+000
9.000001000000001e+000	2.256901e+000	3.021426e+000
9.200001000000000e+000	2.257559e+000	3.021394e+000
9.400001000000000e+000	2.258201e+000	3.021364e+000
9.600000999999999e+000	2.258829e+000	3.021335e+000
9.800000999999998e+000	2.259442e+000	3.021308e+000
1.000000100000000e+001	2.260041e+000	3.021281e+000
1.020000100000000e+001	2.260628e+000	3.021257e+000
1.040000100000000e+001	2.261202e+000	3.021233e+000
1.060000100000000e+001	2.261763e+000	3.021210e+000
1.080000100000000e+001	2.262314e+000	3.021188e+000
1.100000099999999e+001	2.262853e+000	3.021167e+000
1.120000099999999e+001	2.263382e+000	3.021147e+000
1.140000099999999e+001	2.263900e+000	3.021127e+000
1.160000099999999e+001	2.264408e+000	3.021109e+000
1.180000099999999e+001	2.264907e+000	3.021091e+000
1.200000000000000e+001	2.265397e+000	3.021074e+000
